vsm2,cprodfe3,11/30/2013,camir-ncsh,810,,,,,,,
vsm2,cprodfe2,11/30/2013,lkpes8m-fr,280,,,,,,,
vsm2,cprodfe2,11/30/2013,lkp-s8m-sec,196,,,,,,,
vsm2,cprodfe2,11/30/2013,spkes8ru-gfs,200,,,,,,,
vsm2,cprodfe1,11/30/2013,hmi8no-sec7g,300,,,,,,,
vsm2,cprodfb4,11/30/2013,c075w-c,30,,,,,,,
vsm2,cprodfb4,11/30/2013,c079-2,288,,,,,,,
vsm2,cprodfb4,11/30/2013,c080,30,,,,,,,
vsm2,cprodfb4,11/30/2013,c084,36,,,,,,,
vsm2,cprodfb4,11/30/2013,e062-01,42,,,,,,,
vsm2,cprodfb4,11/30/2013,e080-04,480,,,,,,,
vsm2,cprodfb4,11/30/2013,e485-2,42,,,,,,,
