5-330-011-00,"LED,T1,GRN,TINTED CLEAR,",F3D-D7-2-2A,1,1000,2
5-330-011-00,"LED,T1,GRN,TINTED CLEAR,",F3D-D7-2-2A,1,1000,2
5-330-010-00,"LED,T1,YEL,TINTED CLEAR,",F3D-D7-2-2B,1,1000,2
5-330-010-00,"LED,T1,YEL,TINTED CLEAR,",F3D-D7-2-2B,1,1000,2
5-330-009-00,"LED,T1,RED,TINTED",F3D-D7-2-2C,1,1000,2
5-330-009-00,"LED,T1,RED,TINTED",F3D-D7-2-2C,1,1000,2
5-535-032-00,"FOAM,BUG GUARD",F3D-D9-1-3C,1,1000,2
F-043-020-00,"LABEL,HOOK-UP,IS-2260T",F3D-D9-4-1A,1,1000,2
AD-K6192,"LBL,WEEE LOGO",F3D-D9-4-1B,4,4000,8
800-00235,"LABEL,ROHS,10 YEAR,ORANG",F3D-E2-3-2C,1,2500,2
5-721-036-02,"CONNECTOR,JUMPER",F3D-E7-1-2C,4,4000,8
AD-K9053,MICROPHONE GROMMET WAASCR,F3D-E7-2-3C,1,1800,2
5-260-028-00,"RELAY,PG MTG,FORM IC,5V,",F3D-E8-1-1,10,700,20
5-743-052-10,"SWITCH,TACTILEAAKEY,PUSHB",F3D-E8-3-2C,1,1000,2
5-722-072-03,"TERMINAL STRIP,3 POS,90",F3D-E9-4-1,4,2400,8
800-12615,"LABEL,PULL-TAB,DUAL CR12",F3E-E10-1-2,5,3000,10
5-232-108-08,"CAP,LF,100UF,16V,20%,ALU",F3E-E10-3-1,1,2000,2
AD-N5970LF,"RESONATOR,LF,SAW,345MHZ,",F3E-E10-4-2,7,3500,14
5-881-047-00,"GROMMET,MIC,6MM ID,WAASCR",F3E-E10-4-3,2,2000,4
5-512-424-00,"SHIELD,MICROPHONE",F3E-E10-5-1,1,4800,2
5-031-033-00,"POLYBAG,CLEAR,AT&T,8710",F3E-E10-5-3,1,5000,2
5-764-005-00LF,"MICROPHONE,ELECT CONDENS",F4B-B8-2-4B,1,100,2
5-512-389-00,"GROUND STRAP,PYRO",F4B-B8-4-1A,2,6000,4
5-535-019-00,"FOAM,BUG GUARD",F4B-B8-4-2,3,3000,6
5-046-239-00,"LABEL,CEAAR & TTEAARFI",F4B-B9-3-1B,1,3000,2
5-046-240-00,"LABEL,CULUS",F4B-B9-3-2B,2,6000,4
5-048-042-01,"LABEL,C-TICK",F4B-B9-3-3A,1,1000,2
5-048-081-00,"LABEL,IMQ,DT-7450 EU",F4B-B9-3-5A,1,3000,2
5-048-089-00,"LABEL,ITALY,DT-7235T EU",F4B-B9-4-1A,1,2000,2
800-11467,"LABEL,HOOK-UP,DT7450-EOL",F4B-B9-4-5A,1,2000,2
AD-K6192,"LBL,WEEE LOGO",F4B-B9-5-5A,4,4000,8
100-00224,"CABLE,2 LINES,ONE VIDEO",F5B-F3-1-1,3,300,6
300-01139,"CONN,LF,TERM BLK,PLUGGAB",F5B-F3-2-1,7,350,14
300-01140,"CONN,LF,HEADER,8 POS,8A,",F5B-F3-2-1,5,250,10
700-00355,"SCREW,M3*8,F,PHILIPS,NI",F5B-F3-4-2,1,10000,2
800-04611,"LABEL,MOUNTING GUIDE,CPY",F5B-F3-6-3,1,500,2
610.0001,"TOOL&FIXT,ALLEN KEY,5/32",F5B-F3-7-1,2,400,4
700-00743,"WASHER,GIMBLE,HD5 *RISK",F5B-F3-9-2,1,1000,2
700-00925,"4MM x 20MM CSK,POZI WOOD",F5B-F3-9-2,1,3000,2
900-00057,"PLASTIC BAG,150*100*0.05",F5B-F3-9-3,5,500,10
100-00221,"CABLE,7 PINS,TWO TERMINA",F5E-F4-1-1,2,500,4
800-00367,"LABEL,MOUNTING GUIDE,CYP",F5E-F4-2-3,1,500,2
300-02251,"CONN,PLUG COMPPONENT,3-P",F5E-F4-3-1,5,250,10
700-00342,"SNAP,PLASTIC,BASE,GIMBLE",F5E-F4-5-4,3,600,6
627.0002,"FSTNR,WSHR,2MM,NYL,FLAT,",F5E-F4-6-1,1,1000,2
