#def REPORTPATH=$/QAD Addons/BI Report/xxpcwocr
#def :end
"年份";"期间";"地点代码";"地点说明";"件号";"件名";"加工单";"成本要素代码";"成本要素说明";"期初总成";"期间非领料总成";"期间领料总成";"期间一次加权平均成本";"期末总成"
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"28378";"36";"制2其他变动";0;79.00767;0;92.88114;92.88114
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"28378";"41";"制1折旧";0;131.67945;0;154.8019;154.8019
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"28391";"34";"制1其他变动";0;172.38036;0;202.64976;202.64976
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"28391";"36";"制2其他变动";0;43.09509;0;50.66244;50.66244
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"28391";"41";"制1折旧";0;71.82515;0;84.4374;84.4374
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"28400";"34";"制1其他变动";0;488.41104;0;574.17432;574.17432
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"28400";"36";"制2其他变动";0;122.10276;0;143.54358;143.54358
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"28400";"41";"制1折旧";0;203.5046;0;239.2393;239.2393
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"28427";"34";"制1其他变动";0;114.92028;0;135.09984;135.09984
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"28427";"36";"制2其他变动";0;28.73007;0;33.77496;33.77496
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"28427";"41";"制1折旧";0;47.88345;0;56.2916;56.2916
