#def REPORTPATH=$/QAD Addons/BI Report/xxpcwoip
#def :end
"年份";"期间";"地点代码";"地点说明";"父件代码";"父件说明";"子件代码";"子件说明";"领料数量"
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"8.02.14.01";"81121-STK9-A000-KW-0001 2RS-1号力布，R，JF";-621
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"8.02.14.02";"81121-STK9-A000-KX-0001 2RS-2号力布，R，JE";-596
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"8.02.15.01";"T104000-0000-0035-01 2RS-树脂扣，L=35";-1767
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"8.02.15.02";"T104000-0000-0025-01 2RS-树脂扣，L=25";-2850
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"8.02.15.03";"T104000-0000-0130-01 2RS-树脂扣，L=130";-589
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"8.02.15.04";"81121-TA08-A210-23-0000 2RS-树脂扣，H25.1 X L90";-1178
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"8.02.16.01";"81121-STK9-A110-22-0000 2RS-不织布 H30 X L240";-1178
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"8.02.16.02";"81121-STK9-A110-21-0000 2RS-不织布 H30 X L545";-1178
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"8.02.23.02";"4102398-S870-A802 2RS-2号商标，NH556L";-361
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"8.02.27.01";"Z42101-00040-0580-25 2RS-1号魔术贴";-1178
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"3.02.05.05.00";"2RS-556-牛皮裁片FC/L组合 ";-600
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"4.02.05.05.01.00";"FCLA11KA--STK9RK 2RS-556色FC/L-1牛皮裁片";-6
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"4.02.05.05.03.00";"FCLA11KC--STK9RK 2RS-556色FC/L-3牛皮裁片";-5
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"4.02.05.05.04.00";"FCLA11KD--STK9RK 2RS-556色FC/L-4牛皮裁片";-2
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"4.02.05.05.05.00";"FCLA11KE--STK9RK 2RS-556色FC/L-5牛皮裁片";-6
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"4.02.05.05.06.00";"FCLA11KF--STK9RK 2RS-556色FC/L-6牛皮裁片";-4
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"7.A1-FCL.556";"ZQ-S91组合FCL.566 ";-600
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"8.02.15.02";"T104000-0000-0025-01 2RS-树脂扣，L=25";-1200
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"8.02.15.11";"4101308-S3N0-0000 2RS-树脂扣，H22.5X L298";-7
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"8.02.15.12";"T104000-0000-0060-01 2RS-树脂扣，L=60";-2400
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"8.02.15.14";"T120000-0000-0300-01 2RS-树脂扣，L=300";-600
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"8.02.15.16";"81131-TC08-P610-21-0000 2RS-树脂扣，H22.5X L298";-602
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"8.02.16.06";"81131-STK9-A110-22-0000 2RS-不织布 H40 X L270";-1219
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"8.02.16.07";"81131-STK9-A110-21-0000 2RS-不织布 H35 X L415";-1209
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"8.02.22.02";"Z42501-00135-0580-20 2RS-松紧带,W20XL135,556L";-600
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"8.02.27.02";"Z42101-00050-0580-25 2RS-2号魔术贴";-1200
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"3.02.05.06.00";"2RS-556-牛皮裁片FC/R组合 ";-597
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"4.02.05.06.02.00";"FCRA11KB--STK9RK 2RS-556色FC/R-2牛皮裁片";-4
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"4.02.05.06.04.00";"FCRA11KD--STK9RK 2RS-556色FC/R-4牛皮裁片";-1
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"4.02.05.06.05.00";"FCRA11KE--STK9RK 2RS-556色FC/R-5牛皮裁片";-1
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"4.02.05.06.06.00";"FCRA11KF--STK9RK 2RS-556色FC/R-6牛皮裁片";-2
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"7.A1-FCR.556";"ZQ-S91组合FCR.566 ";-665
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"8.02.15.02";"T104000-0000-0025-01 2RS-树脂扣，L=25";-1482
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"8.02.15.11";"4101308-S3N0-0000 2RS-树脂扣，H22.5X L298";-629
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"8.02.15.12";"T104000-0000-0060-01 2RS-树脂扣，L=60";-1554
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"8.02.15.13";"T104000-0000-0110-01 2RS-树脂扣，L=110";-595
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"8.02.15.14";"T120000-0000-0300-01 2RS-树脂扣，L=300";-702
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"8.02.15.15";"T104000-0000-0090-00 2RS-树脂扣，L=90";-520
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"8.02.16.06";"81131-STK9-A110-22-0000 2RS-不织布 H40 X L270";-1274
