#def REPORTPATH=$/QAD Addons/BI Report/xxpcwoiw
#def :end
"年份";"期间";"地点代码";"地点说明";"父件代码";"父件说明";"加工单";"子件代码";"子件说明";"领料数量";"过程加工单"
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33393";"8.02.15.01";"T104000-0000-0035-01 2RS-树脂扣，L=35";-144;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33393";"8.02.15.02";"T104000-0000-0025-01 2RS-树脂扣，L=25";-288;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33393";"8.02.15.03";"T104000-0000-0130-01 2RS-树脂扣，L=130";-48;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33393";"8.02.15.04";"81121-TA08-A210-23-0000 2RS-树脂扣，H25.1 X L90";-96;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33393";"8.02.16.01";"81121-STK9-A110-22-0000 2RS-不织布 H30 X L240";-96;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33393";"8.02.16.02";"81121-STK9-A110-21-0000 2RS-不织布 H30 X L545";-96;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33393";"8.02.23.02";"4102398-S870-A802 2RS-2号商标，NH556L";-48;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33393";"8.02.27.01";"Z42101-00040-0580-25 2RS-1号魔术贴";-96;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33402";"3.02.05.02.00";"2RS-556-牛皮裁片FB/L组合 ";-43;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33402";"4.02.05.02.04.00";"FBLA11KD--STK9RK 2RS-556色FB/L-4牛皮裁片";-28;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33402";"7.A1-FBL.556";"ZQ-S91组合FBL.556 ";-43;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33402";"8.02.14.03";"81521-STK9-A000-KW-0001 2RS-3号力布，L，JH";-43;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33402";"8.02.14.04";"81521-STK9-A000-KX-0001 2RS-4号力布，L JG";-43;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33402";"8.02.15.01";"T104000-0000-0035-01 2RS-树脂扣，L=35";-129;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33402";"8.02.15.02";"T104000-0000-0025-01 2RS-树脂扣，L=25";-258;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33402";"8.02.15.03";"T104000-0000-0130-01 2RS-树脂扣，L=130";-43;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33402";"8.02.15.04";"81121-TA08-A210-23-0000 2RS-树脂扣，H25.1 X L90";-86;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33402";"8.02.16.01";"81121-STK9-A110-22-0000 2RS-不织布 H30 X L240";-86;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33402";"8.02.16.02";"81121-STK9-A110-21-0000 2RS-不织布 H30 X L545";-86;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33402";"8.02.23.02";"4102398-S870-A802 2RS-2号商标，NH556L";-43;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33402";"8.02.27.01";"Z42101-00040-0580-25 2RS-1号魔术贴";-86;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33426";"4.02.05.02.05.00";"FBLA11KE--STK9RK 2RS-556色FB/L-5牛皮裁片";0;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33649";"3.02.05.02.00";"2RS-556-牛皮裁片FB/L组合 ";-30;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33649";"4.02.05.02.05.00";"FBLA11KE--STK9RK 2RS-556色FB/L-5牛皮裁片";-42;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33649";"7.A1-FBL.556";"ZQ-S91组合FBL.556 ";-30;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33649";"8.02.14.03";"81521-STK9-A000-KW-0001 2RS-3号力布，L，JH";-30;""
