#def REPORTPATH=$/QAD Addons/BI Report/xxpcwips
#def :end
年;期;地点;;父零件;;;子零件;;;成本要素;;合计;;;第1次;;
份;间;代码;说明;代码;说明;加工单;代码;说明;用量;代码;说明;领料均成;领料总成;入库总成;领料均成;领料总成;入库总成
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;7.A1-FBL.556;ZQ-S91组合FBL.556 ;30;41;制1折旧;.3077053782;9.231161346;9.231161346;.3077053782;9.231161346;9.231161346
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;7.A1-FBL.556;ZQ-S91组合FBL.556 ;30;42;品质折旧;.0289219958;.867659874;.867659874;.0289219958;.867659874;.867659874
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;7.A1-FBL.556;ZQ-S91组合FBL.556 ;30;43;制2折旧;.1996027311;5.988081933;5.988081933;.1996027311;5.988081933;5.988081933
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;7.A1-FBL.556;ZQ-S91组合FBL.556 ;30;44;制1其他固定;.163764958;4.91294874;4.91294874;.163764958;4.91294874;4.91294874
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;8.02.14.03;81521-STK9-A000-KW-0001 2RS-3号力布，L，JH;30;1;直接材料;5.5999858307;167.999574921;167.999574921;5.5999858307;167.999574921;167.999574921
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;8.02.14.04;81521-STK9-A000-KX-0001 2RS-4号力布，L JG;30;1;直接材料;5.2879337094;158.638011282;158.638011282;5.2879337094;158.638011282;158.638011282
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;8.02.15.01;T104000-0000-0035-01 2RS-树脂扣，L=35;90;1;直接材料;.1439795683;12.958161147;12.958161147;.1439795683;12.958161147;12.958161147
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;8.02.15.02;T104000-0000-0025-01 2RS-树脂扣，L=25;180;1;直接材料;.1286276892;23.152984056;23.152984056;.1286276892;23.152984056;23.152984056
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;8.02.15.03;T104000-0000-0130-01 2RS-树脂扣，L=130;30;1;直接材料;.2269149369;6.807448107;6.807448107;.2269149369;6.807448107;6.807448107
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;8.02.15.04;81121-TA08-A210-23-0000 2RS-树脂扣，H25.1 X L90;60;1;直接材料;.3286930984;19.721585904;19.721585904;.3286930984;19.721585904;19.721585904
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;8.02.16.01;81121-STK9-A110-22-0000 2RS-不织布 H30 X L240;60;1;直接材料;.5001807734;30.010846404;30.010846404;.5001807734;30.010846404;30.010846404
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;8.02.16.02;81121-STK9-A110-21-0000 2RS-不织布 H30 X L545;60;1;直接材料;.9681559134;58.089354804;58.089354804;.9681559134;58.089354804;58.089354804
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;8.02.23.02;4102398-S870-A802 2RS-2号商标，NH556L;30;1;直接材料;.97967;29.3901;29.3901;.97967;29.3901;29.3901
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;8.02.27.01;Z42101-00040-0580-25 2RS-1号魔术贴;60;1;直接材料;.2107844486;12.647066916;12.647066916;.2107844486;12.647066916;12.647066916
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;120;1;直接材料;33.9983333333;4079.799999996;4079.799999996;33.9983333333;4079.799999996;4079.799999996
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;120;21;制1人工;1.244707;149.36484;149.36484;1.244707;149.36484;149.36484
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;120;22;品质人工;.0264627368;3.175528416;3.175528416;.0264627368;3.175528416;3.175528416
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;120;23;制2人工;.9823543509;117.882522108;117.882522108;.9823543509;117.882522108;117.882522108
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;120;24;制1福利费;.454306807;54.51681684;54.51681684;.454306807;54.51681684;54.51681684
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;120;25;品质福利费;.2450330877;29.403970524;29.403970524;.2450330877;29.403970524;29.403970524
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;120;26;制2福利费;.0529254737;6.351056844;6.351056844;.0529254737;6.351056844;6.351056844
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;120;34;制1其他变动;.2830270175;33.9632421;33.9632421;.2830270175;33.9632421;33.9632421
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;120;35;品质其他变动;.7587916667;91.055000004;91.055000004;.7587916667;91.055000004;91.055000004
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;120;36;制2其他变动;.2193019123;26.316229476;26.316229476;.2193019123;26.316229476;26.316229476
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;120;41;制1折旧;1.4094634912;169.135618944;169.135618944;1.4094634912;169.135618944;169.135618944
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;120;42;品质折旧;.132479;15.89748;15.89748;.132479;15.89748;15.89748
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;120;43;制2折旧;.9142926491;109.715117892;109.715117892;.9142926491;109.715117892;109.715117892
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;120;44;制1其他固定;.7501354737;90.016256844;90.016256844;.7501354737;90.016256844;90.016256844
