#def REPORTPATH=$/QAD Addons/BI Report/xxpcincr
#def :end
"年份";"期间";"地点代码";"地点说明";"件号";"件名";"成本要素代码";"成本要素说明";"期初总成";"期间非入库总成";"期间入库总成";"期间一次加权平均成本";"期末总成"
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"21";"制1人工";698.86539;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"22";"品质人工";14.85803;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"23";"制2人工";551.5623;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"24";"制1福利费";255.07955;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"25";"品质福利费";137.57868;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"26";"制2福利费";29.71605;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"34";"制1其他变动";470.52076;0;115131.7152;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"35";"品质其他变动";1261.45987;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"36";"制2其他变动";364.58039;0;28782.9288;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"41";"制1折旧";2343.17496;0;47971.548;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"42";"品质折旧";220.24088;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"43";"制2折旧";1519.97383;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"44";"制1其他固定";1247.06931;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"1";"直接材料";51763.68;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"21";"制1人工";625.27511;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"22";"品质人工";13.29348;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"23";"制2人工";493.48298;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"24";"制1福利费";228.21977;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"25";"品质福利费";123.09169;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"26";"制2福利费";26.58696;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"34";"制1其他变动";420.97589;0;84869.50536;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"35";"品质其他变动";1128.63073;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"36";"制2其他变动";326.19082;0;21217.37634;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"41";"制1折旧";2096.44343;0;35362.2939;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"42";"品质折旧";197.04997;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"43";"制2折旧";1359.92369;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"44";"制1其他固定";1115.75547;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"1";"直接材料";59869.89;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"21";"制1人工";723.19395;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"22";"品质人工";15.37526;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"23";"制2人工";570.76302;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"24";"制1福利费";263.95926;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"25";"品质福利费";142.368;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"26";"制2福利费";30.75052;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"34";"制1其他变动";486.9012;0;194748.0048;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"35";"品质其他变动";1305.37561;0;0;0;0
