#def REPORTPATH=$/QAD Addons/BI Report/xxpctrcr
#def :end
"年份";"期间";"地点代码";"地点说明";"件号";"件名";"事务类型";"数量";"不计成本数量";"计算成本数量";"成本要素代码";"成本要素说明";"总成";"均成"
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-WO";601;0;601;"22";"品质人工";259.6895815975;.4320958096
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-WO";601;0;601;"23";"制2人工";962.1315584043;1.6008844566
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-WO";601;0;601;"24";"制1福利费";1722.5278056479;2.866102838
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-WO";601;0;601;"25";"品质福利费";393.2560189889;.6543361381
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-WO";601;0;601;"26";"制2福利费";55.920900081;.0930464228
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-WO";601;0;601;"34";"制1其他变动";3257.9937429476;5.4209546472
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-WO";601;0;601;"35";"品质其他变动";2833.0657630301;4.7139197388
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-WO";601;0;601;"36";"制2其他变动";849.0529683684;1.4127337244
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-WO";601;0;601;"41";"制1折旧";10448.057985382;17.3844558825
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-WO";601;0;601;"42";"品质折旧";599.1776449839;.9969677953
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-WO";601;0;601;"43";"制2折旧";2796.3629283103;4.6528501303
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-WO";601;0;601;"44";"制1其他固定";14254.2094313971;23.7174865747
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-SO";-300;0;-300;"1";"直接材料";-67159.39328439;223.8646442813
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-SO";-300;0;-300;"11";"材料价格差异";-1976.0578614;6.586859538
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-SO";-300;0;-300;"21";"制1人工";-1395.6429591;4.652143197
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-SO";-300;0;-300;"22";"品质人工";-103.51506933;.3450502311
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-SO";-300;0;-300;"23";"制2人工";-662.98000866;2.2099333622
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-SO";-300;0;-300;"24";"制1福利费";-778.16497254;2.5938832418
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-SO";-300;0;-300;"25";"品质福利费";-221.81409234;.7393803078
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-SO";-300;0;-300;"26";"制2福利费";-37.18381428;.1239460476
