item no,desc,work center,line locator,min,order qty,max
5-512-041-00,"RFI SHIELD,TOP,DT-6360ST",,F2D-B3-4-2,2,720,4
5-031-045-00,"PLASTIC BAG,6.25~ X 4~",,F2D-B4-1-1A,1,1000,2
5-044-685-00,"LABEL,UL,I.D.U.,372K,9 X",,F2D-B4-2-1A,1,2000,2
5-745-003-00,"SWITCH,MICRO,SPDT,100MA,",,F2D-B4-2-4A,2,2000,4
5-048-091-00,LABEL IMQ DT-7360 EU,,F2D-B4-2-4B,1,2000,2
5-801-102-12,"SCREW,PH,PHIL,/6X3/4,TY-",,F2D-B4-3-2B,1,2000,2
5-801-265-04,"SCREW,PH,PHIL,/4X1/4,TY-",,F2D-B4-3-4B,1,5000,2
5-801-265-12,"SCREW,PH,PHIL,4X3,4,TY-",,F2D-B4-3-5B,1,2000,2
5-809-003-00,"SCREW,PH,COMB.,STEEL/ZIN",,F2D-B4-4-3A,2,2000,4
AD-K6192,"LBL,WEEE LOGO",,F2D-B4-5-5A,4,4000,8
700-00347,"PULL-TAB,4X DBL A BATTER",,F2D-B4-6-5A,1,1000,2
100-01078,"ASSY,CABLE,RIBBON,3-COND",,F2D-C4-5-1A,6,600,12
5-532-492-01,"MASK,MIRROR,NEOPRENE",,F2D-C4-5-3B,2,5000,4
700-00326,"GROUND STRAP,PYRO",,F2D-C4-5-4A,1,3000,2
800-01645,"LABEL,HOOK-UP, DT7500SN",,F2D-C4-5-4B,1,1000,2
800-01646,"LABEL,COMPLIANCE,DT7500S",,F2D-C4-5-5B,1,1000,2
800-01649,"LABEL,COMPLIANCE,IS2500S",,F2D-C4-6-1A,1,3000,2
800-01648,"LABEL,HOOK-UP,IS2500SN",,F2D-C4-6-1B,1,3000,2
800-08623,"LABEL,HOOK-UP,DT7500SN-E",,F2D-C4-6-2A,1,1000,2
800-09442,"LABEL,COMPLIANCE,DT7500S",,F2D-C4-6-3B,1,100,2
700-01217,"SEAL,BUG GUARD",,F2D-C4-6-4,1,1000,2
5-512-073-00,TAMPER SWITCH,,F3A-G5-2-3C,1,2000,2
5-743-052-10,"SWITCH,TACTILE/KEY,PUSHB",,F3D-F2-3-2C,1,1000,2
5-722-088-03,"TERMINAL BLOCK,45 ENTRY,",,F3D-F2-4-2,7,3080,14
5-330-000-03,"LED,T1-3/4,RED,W/CLR,H/B",,F3D-F4-2-1B,1,1000,2
5-046-193-02,"LABEL,FCC/IC,DT-7XXX SER",,F4B-C3-2-5A,1,1000,2
5-046-239-00,"LABEL,CE/R & TTE/RFI",,F4B-C3-3-1B,1,3000,2
5-048-042-01,"LABEL,C-TICK",,F4B-C3-3-3A,1,5000,2
5-046-252-00,"LABEL,EN 50131-1,GRADE 2",,F4B-C3-3-3B,1,3000,2
5-046-274-00,"LABEL,COMPLIANCE,R&TTE/C",,F4B-C3-3-4B,1,3000,2
5-046-275-00,"LABEL,COMPLIANCE,DT7550A",,F4B-C3-3-5B,1,2000,2
5-048-089-00,"LABEL,ITALY,DT-7235T EU",,F4B-C3-4-1A,1,1000,2
5-048-089-00,"LABEL,ITALY,DT-7235T EU",,F4B-C3-4-1A,1,1000,2
5-048-083-00,"LABEL,IMQ,DT-7435 EU",,F4B-C3-4-1B,1,3000,2
5-048-090-02,"LABEL,AFNOR SHIELDS,LEVE",,F4B-C3-4-2A,1,1600,2
5-048-084-00,"LABEL,AFNOR,DT-7435 EU",,F4B-C3-4-2B,1,3000,2
5-806-151-03,"SCREW,PH,SLOT,STEEL/ZINC",,F4B-C4-1-4B,1,5000,2
800-02415,"LABEL,HOOK-UP,DT7550UK2",,F4B-C4-3-1B,1,5000,2
5-535-019-00,"FOAM,BUG GUARD",,F4B-C4-4-2,3,3000,6
5-780-010-00,"SHIELD,DT-7XX",,F4B-C4-4-3,5,2500,10
5-300-020-00,"DETECTOR,PYROELECTRIC",,F4B-G3-1,3,3000,6
5-300-020-01,"DETECTOR,PYROELECTRIC",,F4B-G3-3,3,3000,6
400.0420LF,"CONN,JACK&PLUG,2X22P,CT",,F5F-A4-7-3,6,300,12
800-04323,"LABEL,ACUIX,V2,POLYESTER",,F5F-A5-2-2,1,1000,2
864536-0003,"FSTNR,RIVET,POP,1/8X.02-",,F5F-A5-6-2,1,2000,2
700-00864,"NUT,ROUND,PEM,6-32 X 1/4",,F5F-A5-7-1,1,1000,2
800-09602,PW5K1ENC3 ACCESS CONTROL,,F5G-A6-1-4,3,300,6
804.0015,"PKGNG,BAG,PLSTC,3X5IN,ZI",,F5G-A6-2-4,5,500,10
W25102686102,"RES,CARBON FILM,1K,1/4W,",,F5G-A6-2-5,1,5000,2
AD-K6192,"LBL,WEEE LOGO",,F5G-A6-3-4,4,4000,8
1-000160,POWER IND LIGHT WIRE ASS,,F5G-A6-4-1,2,200,4
AD-N4930-0,"BAG,ZIPLOCK,6X8,4 MIL BL",,F5G-A6-4-4,15,1500,30
AD-P3246LF,RES 2.2K 5% 1/4W CF AXIA,,F5G-A6-5-4,2,4000,4
AD-P3171,"CABLE,TIE,MINIATURE,3/32",,F5G-A6-5-4,2,2000,4
600-00207,"CABLE ASSY,TAMPER SWITCH",,F5G-A6-6-2,5,500,10
700-02721,"SCREW,8-32X1,TRILOBULAR",,F5G-A6-6-3,4,4000,8
AD-P4005,"BRACKET,FOR,/112",,F5G-A6-6-4,2,500,4
N9766,"BAG,ZIPLOCK,W/DIECUT,3""X",,F5G-A6-7-4,5,500,10
N5803,"SCREW,SCREW,SELF TAPPING",,F5G-A6-7-4,2,2000,4
RN-424-19252-00,"NUT,/6-32,KEP STAINLESS",,F5G-A6-8-4,1,2000,2
W42106879001,"BAG,PLASTIC,CLR,4X6,.003",,F5G-A6-8-5,1,500,2
5100143,"LABEL,REG,WIRO 4/8/4",,F5G-A6-9-2,1,500,2
RN-444-19495-00,"STANDOFF,/6-32 X 0.625L",,F5G-A6-9-4,1,1500,2
W51107394001,"LABEL,STATIC,AWARENESS",,F5G-A6-9-5,4,2000,8
W42108181001,"BAG,PLASTIC,CLEAR,6""X8""",,F5G-A6-9-5,1,500,2
300-04561,"CONN,LF,TERM BLK HEADER,",,F5G-A8-3-5,5,500,10
300-03063,"CONN,TERM BLK,3 POS,5MM",,F5G-A8-5-5,8,1600,16
624.0002,"FSTNR,SPCR,M2X8MM,BRASS,",,F5H-A8-4-1,1,1000,2
700.0756,"MECHPP,MT,LENS COLLAR,QD",,F5H-A8-4-2,1,200,2
MIM40001,"MECHPP,HOUSING",,F7A-D5-1-2C,1,1000,2
A006074,COUNTERSUNK-FLAT-HEAD-SC,,F9A-F10-1-4A,1,1000,2
A009508,"FSTNR,RECESSED.FILLISTER",,F9A-F10-2-1B,1,10000,2
A009875,RECESSED.FILLISTER-HEAD-,,F9A-F10-2-3B,1,1000,2
A114616,SOLDERING-TAB.BRASS.BAND,,F9A-F10-5-1B,5,2500,10
A119946,SWITCH-LEVER.2.BOLT-SWIT,,F9A-F10-5-3A,1,2000,2
A119944,SWITCH-LEVER.1.BOLT-SWIT,,F9A-F10-5-3B,1,1000,2
A119947,FIXING-BOLT.MS BOLT-SWIT,,F9A-F10-5-4B,1,5000,2
A200176,"MECHPP,MECHMISC LOCK-BOL",,F9A-F10-6-4A,1,500,2
A200178,"MECHPP,SPUR GEAR,STRAIGH",,F9A-F10-6-5A,1,500,2
A200177,"MECHPP,DISC,CAM,PLASTIC,",,F9A-F10-6-5B,1,250,2
A200181,"MECHPP,SPUR GEAR,STRAIGH",,F9A-F9-1-1A,1,1000,2
A200179,"MECHPP,SPUR GEAR,STRAIGH",,F9A-F9-1-1B,1,1000,2
A200182,"MECHPP,SPUR,INCLINDED ST",,F9A-F9-1-2B,1,1000,2
A356249,"CBL&WIR,CABLE-BUSHING D=",,F9A-F9-2-1A,1,2000,2
A440045,"SEMI,LED,OP140A,G2,54",,F9A-F9-2-3B,1,1000,2
SC312201,"CAP,2N2,50V,5%,CER,SMD12",,F9A-F9-4-1A,2,2000,4
