
工单号             工单标志   工序 项目号                   订购数       合格数       报废数
G0901A00395-11     806694        5 US32-484585                 9.0          9.0          0.0
G0901A00395-11     806694       15 US32-484585                 9.0          9.0          0.0
G0901A00395-11     806694       20 US32-484585                 9.0          9.0          0.0
G0901A00396-11     806697        5 US32-484586                10.0         10.0          0.0
G0901A00396-11     806697       15 US32-484586                10.0         10.0          0.0
G0901A00396-11     806697       20 US32-484586                10.0         10.0          0.0
G0901A00451-11     815054        5 US32-485503                23.0         23.0          0.0
G0901A00451-11     815054       10 US32-485503                23.0         23.0          0.0
G0901A00451-11     815054       20 US32-485503                23.0          0.0          0.0
G0901A00625-11     839859        5 SP38-379661                 6.0          6.0          0.0
G0901A00625-11     839859       10 SP38-379661                 6.0          6.0          0.0
G0901A00625-11     839859       15 SP38-379661                 6.0          6.0          0.0
G0901A00625-11     839859       25 SP38-379661                 6.0          6.0          0.0
G0901A00625-11     839859       30 SP38-379661                 6.0          0.0          0.0
G0902A00009-11     754875        5 32-4872-17-00-R05          21.0         21.0          0.0
G0902A00009-11     754875       10 32-4872-17-00-R05          21.0         21.0          0.0
G0902A00009-11     754875       15 32-4872-17-00-R05          21.0         21.0          0.0
G0902A00009-11     754874       17 32-4872-17-00-R17          21.0         21.0          0.0
G0902A00009-11     754873       18 32-4872-17-00-R18          21.0         21.0          0.0
G0902A00009-11     754872       20 32-4872-17-00-R20          21.0         21.0          0.0
G0902A00009-11     754871       21 32-4872-17-00-R25          21.0         21.0          0.0
G0902A00009-11     754870       23 32-487217                  21.0         21.0          0.0
G0902A00009-11     754870       24 32-487217                  21.0         21.0          0.0
G0902A00009-11     754870       25 32-487217                  21.0         21.0          0.0
G0902A00009-11     754870       30 32-487217                  21.0         21.0          0.0
G0902A00009-11     754870       35 32-487217                  21.0          0.0          0.0
G0902A00009-11     754870       40 32-487217                  21.0          0.0          0.0
G0902A00017-11     756662        5 32-485015                  33.0         33.0          0.0
G0902A00017-11     756662       10 32-485015                  33.0         33.0          0.0
G0902A00017-11     756662       11 32-485015                  33.0         33.0          0.0
G0902A00017-11     756662       12 32-485015                  33.0         33.0          0.0
G0902A00017-11     756662       13 32-485015                  33.0         33.0          0.0
G0902A00017-11     756662       15 32-485015                  33.0         33.0          0.0
G0902A00017-11     756662       20 32-485015                  33.0         32.0          0.0
G0902A00017-11     756662       22 32-485015                  33.0          0.0          0.0
G0902A00017-11     756662       25 32-485015                  33.0          0.0          0.0
G0902A00036-11     762392       10 32-486531                   9.0          9.0          0.0
G0902A00036-11     762392       15 32-486531                   9.0          9.0          0.0
G0902A00036-11     762392       20 32-486531                   9.0          9.0          0.0
G0902A00036-11     762392       25 32-486531                   9.0          9.0          0.0
G0902A00036-11     762392       30 32-486531                   9.0          9.0          0.0
G0902A00036-11     762392       35 32-486531                   9.0          7.0          0.0
G0902A00036-11     762392       40 32-486531                   7.0          0.0          0.0
G0902A00036-11     762392       45 32-486531                   7.0          0.0          0.0
G0902A00042-11     762674        5 32-485017                  22.0         19.0          3.0
G0902A00042-11     762674       10 32-485017                  19.0         19.0          0.0
G0902A00042-11     762674       11 32-485017                  19.0         19.0          0.0
G0902A00042-11     762674       12 32-485017                  19.0         19.0          0.0
G0902A00042-11     762674       13 32-485017                  19.0         19.0          0.0
G0902A00042-11     762674       15 32-485017                  19.0         19.0          0.0
G0902A00042-11     762674       20 32-485017                  19.0         18.0          1.0
G0902A00042-11     762674       22 32-485017                  18.0         18.0          0.0
G0902A00042-11     762674       25 32-485017                  18.0         18.0          0.0
G0902A00055-11     763495        5 32-4872-71-00-R05          40.0         40.0          0.0
G0902A00055-11     763494       10 32-4872-71-00-R10          40.0         20.0          0.0
G0902A00055-11     763493       15 32-4872-71-00-R15          40.0          0.0          0.0
G0902A00055-11     763492       20 32-4872-71-00-R22          40.0          0.0          0.0
G0902A00055-11     763489       35 32-487271                  40.0          0.0          0.0
G0902A00055-11     763489       45 32-487271                  40.0          0.0          0.0
G0902A00055-11     763489       50 32-487271                  40.0          0.0          0.0
G0902A00055-11     763489       55 32-487271                  40.0          0.0          0.0
G0902A00055-11     763489       60 32-487271                  40.0          0.0          0.0
G0902A00055-11     763489       65 32-487271                  40.0          0.0          0.0
G0902A00055-11     763489       70 32-487271                  40.0          0.0          0.0
G0902A00055-11     763489       75 32-487271                  40.0          0.0          0.0
G0902A00062-11     763518       10 US32-486500                80.0         80.0          0.0
G0902A00062-11     763518       15 US32-486500                80.0         80.0          0.0
G0902A00062-11     763518       20 US32-486500                80.0         80.0          0.0
G0902A00062-11     763518       25 US32-486500                80.0         80.0          0.0
G0902A00062-11     763518       28 US32-486500                80.0         80.0          0.0
G0902A00062-11     763518       30 US32-486500                80.0         80.0          0.0
G0902A00062-11     763518       35 US32-486500                80.0         80.0          0.0
G0902A00062-11     763518       37 US32-486500                80.0         80.0          0.0
G0902A00062-11     763518       40 US32-486500                80.0         80.0          0.0
G0902A00062-11     763518       45 US32-486500                80.0         80.0          0.0
G0902A00062-11     763518       50 US32-486500                80.0         80.0          0.0
G0902A00062-11     763518       55 US32-486500                80.0         80.0          0.0
G0902A00062-11     763518       60 US32-486500                80.0          0.0          0.0
G0902A00062-11     763518       65 US32-486500                80.0          0.0          0.0
G0902A00062-11     763518       70 US32-486500                80.0          0.0          0.0
G0902A00063-11     763522       10 32-486500                  26.0         26.0          0.0
G0902A00063-11     763522       15 32-486500                  26.0         26.0          0.0
G0902A00063-11     763522       20 32-486500                  26.0         26.0          0.0
G0902A00063-11     763522       25 32-486500                  26.0         26.0          0.0
G0902A00063-11     763522       28 32-486500                  26.0         26.0          0.0
G0902A00063-11     763522       30 32-486500                  26.0         26.0          0.0
G0902A00063-11     763522       35 32-486500                  26.0         26.0          0.0
G0902A00063-11     763522       37 32-486500                  26.0         26.0          0.0
G0902A00063-11     763522       40 32-486500                  26.0         26.0          0.0
G0902A00063-11     763522       45 32-486500                  26.0         26.0          0.0
G0902A00063-11     763522       50 32-486500                  26.0         26.0          0.0
G0902A00063-11     763522       55 32-486500                  26.0         26.0          0.0
G0902A00063-11     763522       60 32-486500                  26.0          0.0          0.0
G0902A00063-11     763522       65 32-486500                  26.0          0.0          0.0
G0902A00063-11     763522       70 32-486500                  26.0          0.0          0.0
G0902A00064-11     763529       10 31-5555-00-00-R10          16.0         16.0          0.0
G0902A00064-11     763529       15 31-5555-00-00-R10          16.0         16.0          0.0
G0902A00064-11     763529       20 31-5555-00-00-R10          16.0         16.0          0.0
G0902A00064-11     763529       25 31-5555-00-00-R10          16.0         16.0          0.0
G0902A00064-11     763529       26 31-5555-00-00-R10          16.0         16.0          0.0
G0902A00064-11     763529       28 31-5555-00-00-R10          16.0         16.0          0.0
G0902A00064-11     763528       30 31-5555-00-00-R15          16.0         16.0          0.0
G0902A00064-11     763528       32 31-5555-00-00-R15          16.0         16.0          0.0
G0902A00064-11     763528       35 31-5555-00-00-R15          16.0         16.0          0.0
G0902A00064-11     763526       40 31-555500                  16.0         16.0          0.0
G0902A00064-11     763526       45 31-555500                  16.0         16.0          0.0
G0902A00064-11     763526       55 31-555500                  16.0          0.0          0.0
G0902A00081-11     765138        5 USX31-400027-R03           14.0         12.0          2.0
G0902A00081-11     765137       15 USX31-400027-R08           12.0          0.0          0.0
G0902A00081-11     765136       20 USX31-400027-R18           12.0          0.0          0.0
G0902A00081-11     765135       25 USX31-400027               12.0          0.0          0.0
G0902A00081-11     765135       30 USX31-400027               12.0          0.0          0.0
G0902A00081-11     765135       35 USX31-400027               12.0          0.0          0.0
G0902A00081-11     765135       40 USX31-400027               12.0          0.0          0.0
G0902A00096-22     766667       10 32-420330-6-R05            28.0          0.0          0.0
G0902A00096-22     766667       15 32-420330-6-R05            28.0          0.0          0.0
G0902A00096-22     766666       20 32-420330-6-R20            28.0          0.0          0.0
G0902A00096-22     766665       45 32-420330-6                28.0          0.0          0.0
G0902A00096-22     766665       50 32-420330-6                28.0          0.0          0.0
G0902A00096-22     766665       55 32-420330-6                28.0          0.0          0.0
G0902A00096-22     766665       60 32-420330-6                28.0          0.0          0.0
G0902A00096-22     766665       65 32-420330-6                28.0          0.0          0.0
G0902A00096-22     766665       70 32-420330-6                28.0          0.0          0.0
G0902A00105-11     770875       10 32-4840-11-01-R05          20.0         19.0          0.0
G0902A00105-11     770875       15 32-4840-11-01-R05          20.0          0.0          0.0
G0902A00105-11     770875       20 32-4840-11-01-R05          20.0          0.0          0.0
G0902A00105-11     770874       25 32-4840-11-01-R25          20.0          0.0          0.0
G0902A00105-11     770873       35 32-4840-11-01              20.0          0.0          0.0
G0902A00105-11     770873       40 32-4840-11-01              20.0          0.0          0.0
G0902A00105-11     770873       45 32-4840-11-01              20.0          0.0          0.0
G0902A00105-11     770873       50 32-4840-11-01              20.0          0.0          0.0
