
工单号             工单标志   工序 项目号                   订购数       合格数       报废数
G0903W10037-54     773336       70 32-487555                  10.0         10.0          0.0
G0903W10037-54     773336       75 32-487555                  10.0         10.0          0.0
G0903W10037-54     773336       80 32-487555                  10.0          9.0          1.0
G0903W10037-54     773336       85 32-487555                   9.0          0.0          0.0
G0903W10037-54     773336       90 32-487555                   9.0          0.0          0.0
G0903W10037-55     773353        5 32-4875-55-00-R05          18.0         18.0          0.0
G0903W10037-55     773352        8 32-4875-55-00-R08          18.0         18.0          0.0
G0903W10037-55     773351       10 32-4875-55-00-R09          18.0         18.0          0.0
G0903W10037-55     773350        5 32-4875-55-00-R10          18.0         17.0          1.0
G0903W10037-55     773350       10 32-4875-55-00-R10          17.0         17.0          0.0
G0903W10037-55     773350       15 32-4875-55-00-R10          17.0         16.0          1.0
G0903W10037-55     773349       30 32-4875-55-00-R25          16.0         16.0          0.0
G0903W10037-55     773348       35 32-4875-55-00-R30          16.0         16.0          0.0
G0903W10037-55     773347       40 32-4875-55-00-R35          16.0         16.0          0.0
G0903W10037-55     773346       45 32-4875-55-00-R40          16.0         16.0          0.0
G0903W10037-55     773345       55 32-487555                  16.0         16.0          0.0
G0903W10037-55     773345       60 32-487555                  16.0         16.0          0.0
G0903W10037-55     773345       65 32-487555                  16.0         16.0          0.0
G0903W10037-55     773345       70 32-487555                  16.0         16.0          0.0
G0903W10037-55     773345       75 32-487555                  16.0         16.0          0.0
G0903W10037-55     773345       80 32-487555                  16.0         16.0          0.0
G0903W10037-55     773345       85 32-487555                  16.0          0.0          0.0
G0903W10037-55     773345       90 32-487555                  16.0          0.0          0.0
G0903W10038-51     773362        5 32-4875-56-00-R05          18.0         18.0          0.0
G0903W10038-51     773361        8 32-4875-56-00-R08          18.0         18.0          0.0
G0903W10038-51     773360       10 32-4875-56-00-R09          18.0         18.0          0.0
G0903W10038-51     773359        5 32-4875-56-00-R10          18.0         18.0          0.0
G0903W10038-51     773359       10 32-4875-56-00-R10          18.0         18.0          0.0
G0903W10038-51     773359       15 32-4875-56-00-R10          18.0         18.0          0.0
G0903W10038-51     773358       30 32-4875-56-00-R25          18.0         18.0          0.0
G0903W10038-51     773357       35 32-4875-56-00-R30          18.0         18.0          0.0
G0903W10038-51     773356       40 32-4875-56-00-R35          18.0         18.0          0.0
G0903W10038-51     773355       45 32-4875-56-00-R40          18.0         18.0          0.0
G0903W10038-51     773354       55 32-487556                  18.0         18.0          0.0
G0903W10038-51     773354       60 32-487556                  18.0         18.0          0.0
G0903W10038-51     773354       65 32-487556                  18.0         18.0          0.0
G0903W10038-51     773354       70 32-487556                  18.0         18.0          0.0
G0903W10038-51     773354       75 32-487556                  18.0         18.0          0.0
G0903W10038-51     773354       80 32-487556                  18.0         18.0          0.0
G0903W10038-51     773354       85 32-487556                  18.0          0.0          0.0
G0903W10038-51     773354       90 32-487556                  18.0          0.0          0.0
G0903W10038-52     773371        5 32-4875-56-00-R05          18.0         18.0          0.0
G0903W10038-52     773370        8 32-4875-56-00-R08          18.0         18.0          0.0
G0903W10038-52     773369       10 32-4875-56-00-R09          18.0         18.0          0.0
G0903W10038-52     773368        5 32-4875-56-00-R10          18.0         18.0          0.0
G0903W10038-52     773368       10 32-4875-56-00-R10          18.0         18.0          0.0
G0903W10038-52     773368       15 32-4875-56-00-R10          18.0         18.0          0.0
G0903W10038-52     773367       30 32-4875-56-00-R25          18.0         18.0          0.0
G0903W10038-52     773366       35 32-4875-56-00-R30          18.0         17.0          1.0
G0903W10038-52     773365       40 32-4875-56-00-R35          17.0         17.0          0.0
G0903W10038-52     773364       45 32-4875-56-00-R40          17.0         17.0          0.0
G0903W10038-52     773363       55 32-487556                  17.0         17.0          0.0
G0903W10038-52     773363       60 32-487556                  17.0         17.0          0.0
G0903W10038-52     773363       65 32-487556                  17.0         17.0          0.0
G0903W10038-52     773363       70 32-487556                  17.0         17.0          0.0
G0903W10038-52     773363       75 32-487556                  17.0         17.0          0.0
G0903W10038-52     773363       80 32-487556                  17.0         17.0          0.0
G0903W10038-52     773363       85 32-487556                  17.0         17.0          0.0
G0903W10038-52     773363       90 32-487556                  17.0         17.0          0.0
G0903W10038-53     773380        5 32-4875-56-00-R05          18.0         18.0          0.0
G0903W10038-53     773379        8 32-4875-56-00-R08          18.0          0.0          0.0
G0903W10038-53     773378       10 32-4875-56-00-R09          18.0          0.0          0.0
G0903W10038-53     773377        5 32-4875-56-00-R10          18.0          0.0          0.0
G0903W10038-53     773377       10 32-4875-56-00-R10          18.0          0.0          0.0
G0903W10038-53     773377       15 32-4875-56-00-R10          18.0          0.0          0.0
G0903W10038-53     773376       30 32-4875-56-00-R25          18.0          0.0          0.0
G0903W10038-53     773375       35 32-4875-56-00-R30          18.0          0.0          0.0
G0903W10038-53     773374       40 32-4875-56-00-R35          18.0          0.0          0.0
G0903W10038-53     773373       45 32-4875-56-00-R40          18.0          0.0          0.0
G0903W10038-53     773372       55 32-487556                  18.0          0.0          0.0
G0903W10038-53     773372       60 32-487556                  18.0          0.0          0.0
G0903W10038-53     773372       65 32-487556                  18.0          0.0          0.0
G0903W10038-53     773372       70 32-487556                  18.0          0.0          0.0
G0903W10038-53     773372       75 32-487556                  18.0          0.0          0.0
G0903W10038-53     773372       80 32-487556                  18.0          0.0          0.0
G0903W10038-53     773372       85 32-487556                  18.0          0.0          0.0
G0903W10038-53     773372       90 32-487556                  18.0          0.0          0.0
G0903W10038-54     773389        5 32-4875-56-00-R05          18.0         18.0          0.0
G0903W10038-54     773388        8 32-4875-56-00-R08          18.0         18.0          0.0
G0903W10038-54     773387       10 32-4875-56-00-R09          18.0         18.0          0.0
G0903W10038-54     773386        5 32-4875-56-00-R10          18.0         18.0          0.0
G0903W10038-54     773386       10 32-4875-56-00-R10          18.0         18.0          0.0
G0903W10038-54     773386       15 32-4875-56-00-R10          18.0         18.0          0.0
G0903W10038-54     773385       30 32-4875-56-00-R25          18.0         18.0          0.0
G0903W10038-54     773384       35 32-4875-56-00-R30          18.0         18.0          0.0
G0903W10038-54     773383       40 32-4875-56-00-R35          18.0         18.0          0.0
G0903W10038-54     773382       45 32-4875-56-00-R40          18.0         18.0          0.0
G0903W10038-54     773381       55 32-487556                  18.0         18.0          0.0
G0903W10038-54     773381       60 32-487556                  18.0         18.0          0.0
G0903W10038-54     773381       65 32-487556                  18.0         18.0          0.0
G0903W10038-54     773381       70 32-487556                  18.0         18.0          0.0
G0903W10038-54     773381       75 32-487556                  18.0         18.0          0.0
G0903W10038-54     773381       80 32-487556                  18.0          0.0          0.0
G0903W10038-54     773381       85 32-487556                  18.0          0.0          0.0
G0903W10038-54     773381       90 32-487556                  18.0          0.0          0.0
G0903W10038-55     773398        5 32-4875-56-00-R05          18.0         18.0          0.0
G0903W10038-55     773397        8 32-4875-56-00-R08          18.0          0.0          0.0
G0903W10038-55     773396       10 32-4875-56-00-R09          18.0          0.0          0.0
G0903W10038-55     773395        5 32-4875-56-00-R10          18.0          0.0          0.0
G0903W10038-55     773395       10 32-4875-56-00-R10          18.0          0.0          0.0
G0903W10038-55     773395       15 32-4875-56-00-R10          18.0          0.0          0.0
G0903W10038-55     773394       30 32-4875-56-00-R25          18.0          0.0          0.0
G0903W10038-55     773393       35 32-4875-56-00-R30          18.0          0.0          0.0
G0903W10038-55     773392       40 32-4875-56-00-R35          18.0          0.0          0.0
G0903W10038-55     773391       45 32-4875-56-00-R40          18.0          0.0          0.0
G0903W10038-55     773390       55 32-487556                  18.0          0.0          0.0
G0903W10038-55     773390       60 32-487556                  18.0          0.0          0.0
G0903W10038-55     773390       65 32-487556                  18.0          0.0          0.0
G0903W10038-55     773390       70 32-487556                  18.0          0.0          0.0
G0903W10038-55     773390       75 32-487556                  18.0          0.0          0.0
G0903W10038-55     773390       80 32-487556                  18.0          0.0          0.0
G0903W10038-55     773390       85 32-487556                  18.0          0.0          0.0
G0903W10038-55     773390       90 32-487556                  18.0          0.0          0.0
G0903W10039-41     773408        5 32-4875-57-00-R05          18.0         18.0          0.0
G0903W10039-41     773407       10 32-4875-57-00-R07          18.0         18.0          0.0
G0903W10039-41     773406       15 32-4875-57-00-R10          18.0         18.0          0.0
G0903W10039-41     773405       17 32-4875-57-00-R12          18.0         18.0          0.0
G0903W10039-41     773404       20 32-4875-57-00-R15          18.0         18.0          0.0
G0903W10039-41     773403       25 32-4875-57-00-R20          18.0         18.0          0.0
G0903W10039-41     773402       30 32-4875-57-00-R25          18.0         18.0          0.0
G0903W10039-41     773401        5 32-4875-57-00-R30          18.0         18.0          0.0
G0903W10039-41     773401       10 32-4875-57-00-R30          18.0         18.0          0.0
G0903W10039-41     773399       45 32-487557                  18.0         18.0          0.0
G0903W10039-41     773399       50 32-487557                  18.0         18.0          0.0
G0903W10039-41     773399       55 32-487557                  18.0         18.0          0.0
G0903W10039-41     773399       60 32-487557                  18.0         18.0          0.0
G0903W10039-41     773399       65 32-487557                  18.0         18.0          0.0
G0903W10039-41     773399       70 32-487557                  18.0         18.0          0.0
G0903W10039-41     773399       75 32-487557                  18.0         18.0          0.0
G0903W10039-41     773399       80 32-487557                  18.0         18.0          0.0
G0903W10039-42     773418        5 32-4875-57-00-R05          18.0         18.0          0.0
G0903W10039-42     773417       10 32-4875-57-00-R07          18.0         18.0          0.0
G0903W10039-42     773416       15 32-4875-57-00-R10          18.0         18.0          0.0
G0903W10039-42     773415       17 32-4875-57-00-R12          18.0         18.0          0.0
G0903W10039-42     773414       20 32-4875-57-00-R15          18.0         18.0          0.0
G0903W10039-42     773413       25 32-4875-57-00-R20          18.0         18.0          0.0
G0903W10039-42     773412       30 32-4875-57-00-R25          18.0         18.0          0.0
G0903W10039-42     773411        5 32-4875-57-00-R30          18.0         18.0          0.0
G0903W10039-42     773411       10 32-4875-57-00-R30          18.0         18.0          0.0
G0903W10039-42     773410       45 32-487557                  18.0         18.0          0.0
G0903W10039-42     773410       50 32-487557                  18.0         18.0          0.0
G0903W10039-42     773410       55 32-487557                  18.0         18.0          0.0
G0903W10039-42     773410       60 32-487557                  18.0         18.0          0.0
G0903W10039-42     773410       65 32-487557                  18.0         18.0          0.0
G0903W10039-42     773410       70 32-487557                  18.0          0.0          0.0
G0903W10039-42     773410       75 32-487557                  18.0          0.0          0.0
G0903W10039-42     773410       80 32-487557                  18.0          0.0          0.0
G0903W10039-43     773427        5 32-4875-57-00-R05          18.0         18.0          0.0
G0903W10039-43     773426       10 32-4875-57-00-R07          18.0         18.0          0.0
G0903W10039-43     773425       15 32-4875-57-00-R10          18.0         18.0          0.0
G0903W10039-43     773424       17 32-4875-57-00-R12          18.0         18.0          0.0
G0903W10039-43     773423       20 32-4875-57-00-R15          18.0         18.0          0.0
G0903W10039-43     773422       25 32-4875-57-00-R20          18.0         18.0          0.0
G0903W10039-43     773421       30 32-4875-57-00-R25          18.0         18.0          0.0
G0903W10039-43     773420        5 32-4875-57-00-R30          18.0         18.0          0.0
G0903W10039-43     773420       10 32-4875-57-00-R30          18.0         18.0          0.0
G0903W10039-43     773419       45 32-487557                  18.0         18.0          0.0
G0903W10039-43     773419       50 32-487557                  18.0         18.0          0.0
G0903W10039-43     773419       55 32-487557                  18.0         18.0          0.0
G0903W10039-43     773419       60 32-487557                  18.0         18.0          0.0
G0903W10039-43     773419       65 32-487557                  18.0         18.0          0.0
G0903W10039-43     773419       70 32-487557                  18.0         18.0          0.0
G0903W10039-43     773419       75 32-487557                  18.0         18.0          0.0
G0903W10039-43     773419       80 32-487557                  18.0         18.0          0.0
G0903W10039-44     773436        5 32-4875-57-00-R05          18.0         18.0          0.0
G0903W10039-44     773435       10 32-4875-57-00-R07          18.0         18.0          0.0
G0903W10039-44     773434       15 32-4875-57-00-R10          18.0         17.0          1.0
G0903W10039-44     773433       17 32-4875-57-00-R12          17.0         17.0          0.0
G0903W10039-44     773432       20 32-4875-57-00-R15          17.0         16.0          1.0
G0903W10039-44     773431       25 32-4875-57-00-R20          16.0         16.0          0.0
G0903W10039-44     773430       30 32-4875-57-00-R25          16.0         15.0          1.0
G0903W10039-44     773429        5 32-4875-57-00-R30          15.0         15.0          0.0
G0903W10039-44     773429       10 32-4875-57-00-R30          15.0         15.0          0.0
G0903W10039-44     773428       45 32-487557                  15.0         15.0          0.0
G0903W10039-44     773428       50 32-487557                  15.0         14.0          1.0
G0903W10039-44     773428       55 32-487557                  14.0         14.0          0.0
G0903W10039-44     773428       60 32-487557                  14.0         14.0          0.0
G0903W10039-44     773428       65 32-487557                  14.0         14.0          0.0
G0903W10039-44     773428       70 32-487557                  14.0         14.0          0.0
G0903W10039-44     773428       75 32-487557                  14.0          0.0          0.0
G0903W10039-44     773428       80 32-487557                  14.0          0.0          0.0
G0903W10040-11     773454        3 S-313133-00-R03            12.0         12.0          0.0
G0903W10040-11     773453        5 S-313133-00-R05            12.0         12.0          0.0
G0903W10040-11     773452       10 S-313133-00-R10            12.0         12.0          0.0
G0903W10040-11     773451        5 S-313133-00-R15            12.0         12.0          0.0
G0903W10040-11     773451       10 S-313133-00-R15            12.0         12.0          0.0
G0903W10040-11     773450       20 S-313133-00-R20            12.0         12.0          0.0
G0903W10040-11     773449       25 S313133                    12.0         12.0          0.0
G0903W10040-11     773449       35 S313133                    12.0         12.0          0.0
G0903W10040-11     773449       40 S313133                    12.0         12.0          0.0
G0903W10040-11     773449       45 S313133                    12.0         12.0          0.0
G0903W10040-11     773449       50 S313133                    12.0         12.0          0.0
G0903W10040-11     773449       55 S313133                    12.0         10.0          2.0
G0903W10040-11     773449       60 S313133                    10.0          0.0          0.0
G0903W10040-11     773449       65 S313133                    10.0          0.0          0.0
G0903W10041-21     773461        3 31-1589-64-01-R03          32.0         32.0          0.0
G0903W10041-21     773460        5 31-1589-64-01-R05          32.0          0.0          0.0
G0903W10041-21     773459       10 31-1589-64-01-R10          32.0          0.0          0.0
G0903W10041-21     773458       15 31-1589-64-01-R15          32.0          0.0          0.0
G0903W10041-21     773457       20 31-1589-64-01-R20          32.0          0.0          0.0
G0903W10041-21     773456       30 31-1589-64-01-R30          32.0          0.0          0.0
G0903W10041-21     773455       37 31-1589-64-01              32.0          0.0          0.0
G0903W10041-21     773455       40 31-1589-64-01              32.0          0.0          0.0
G0903W10041-21     773455       45 31-1589-64-01              32.0          0.0          0.0
G0903W10041-21     773455       50 31-1589-64-01              32.0          0.0          0.0
G0903W10041-21     773455       55 31-1589-64-01              32.0          0.0          0.0
G0903W10041-21     773455       60 31-1589-64-01              32.0          0.0          0.0
G0903W10041-22     773468        3 31-1589-64-01-R03          32.0         32.0          0.0
G0903W10041-22     773467        5 31-1589-64-01-R05          32.0         32.0          0.0
G0903W10041-22     773466       10 31-1589-64-01-R10          32.0         32.0          0.0
G0903W10041-22     773465       15 31-1589-64-01-R15          32.0         32.0          0.0
G0903W10041-22     773464       20 31-1589-64-01-R20          32.0         32.0          0.0
G0903W10041-22     773463       30 31-1589-64-01-R30          32.0         32.0          0.0
G0903W10041-22     773462       37 31-1589-64-01              32.0         32.0          0.0
G0903W10041-22     773462       40 31-1589-64-01              32.0         32.0          0.0
G0903W10041-22     773462       45 31-1589-64-01              32.0         32.0          0.0
G0903W10041-22     773462       50 31-1589-64-01              32.0         32.0          0.0
G0903W10041-22     773462       55 31-1589-64-01              32.0         32.0          0.0
G0903W10041-22     773462       60 31-1589-64-01              32.0          0.0          0.0
G0903W10042-41     773198        5 32-4865-10-01-R05          10.0         10.0          0.0
G0903W10042-41     773197        8 32-4865-10-01-R08          10.0         10.0          0.0
G0903W10042-41     773196       13 32-4865-10-01-R13          10.0         10.0          0.0
G0903W10042-41     773195        5 32-4865-10-01-R20          10.0          0.0          0.0
G0903W10042-41     773195       10 32-4865-10-01-R20          10.0          0.0          0.0
G0903W10042-41     773194       30 32-4865-10-01-R30          10.0          0.0          0.0
G0903W10042-41     773192        5 32-4865-10-01-R40          10.0          0.0          0.0
G0903W10042-41     773192       10 32-4865-10-01-R40          10.0          0.0          0.0
G0903W10042-41     773191       41 32-4865-10-01-R41          10.0          0.0          0.0
G0903W10042-41     773190        5 32-4865-10-01-R45          10.0          0.0          0.0
G0903W10042-41     773190       10 32-4865-10-01-R45          10.0          0.0          0.0
G0903W10042-41     773189       50 32-4865-10-01-R50          10.0          0.0          0.0
G0903W10042-41     773179       55 32-4865-10-01              10.0          0.0          0.0
G0903W10042-41     773179       60 32-4865-10-01              10.0          0.0          0.0
G0903W10042-41     773179       65 32-4865-10-01              10.0          0.0          0.0
G0903W10042-41     773179       70 32-4865-10-01              10.0          0.0          0.0
G0903W10042-41     773179       75 32-4865-10-01              10.0          0.0          0.0
G0903W10042-41     773179       80 32-4865-10-01              10.0          0.0          0.0
G0903W10042-42     773212        5 32-4865-10-01-R05          10.0         10.0          0.0
G0903W10042-42     773211        8 32-4865-10-01-R08          10.0         10.0          0.0
G0903W10042-42     773210       13 32-4865-10-01-R13          10.0         10.0          0.0
G0903W10042-42     773209        5 32-4865-10-01-R20          10.0         10.0          0.0
G0903W10042-42     773209       10 32-4865-10-01-R20          10.0         10.0          0.0
G0903W10042-42     773208       30 32-4865-10-01-R30          10.0          0.0          0.0
G0903W10042-42     773207        5 32-4865-10-01-R40          10.0          0.0          0.0
G0903W10042-42     773207       10 32-4865-10-01-R40          10.0          0.0          0.0
G0903W10042-42     773206       41 32-4865-10-01-R41          10.0          0.0          0.0
G0903W10042-42     773205        5 32-4865-10-01-R45          10.0          0.0          0.0
G0903W10042-42     773205       10 32-4865-10-01-R45          10.0          0.0          0.0
G0903W10042-42     773204       50 32-4865-10-01-R50          10.0          0.0          0.0
G0903W10042-42     773200       55 32-4865-10-01              10.0          0.0          0.0
G0903W10042-42     773200       60 32-4865-10-01              10.0          0.0          0.0
G0903W10042-42     773200       65 32-4865-10-01              10.0          0.0          0.0
G0903W10042-42     773200       70 32-4865-10-01              10.0          0.0          0.0
G0903W10042-42     773200       75 32-4865-10-01              10.0          0.0          0.0
G0903W10042-42     773200       80 32-4865-10-01              10.0          0.0          0.0
G0903W10043-11     773277        2 32-4870-61-01-R02          16.0         16.0          0.0
G0903W10043-11     773276        5 32-4870-61-01-R05          16.0          0.0          0.0
G0903W10043-11     773275       10 32-4870-61-01-R10          16.0          0.0          0.0
G0903W10043-11     773274       15 32-4870-61-01-R15          16.0          0.0          0.0
G0903W10043-11     773273       18 32-4870-61-01-R18          16.0          0.0          0.0
G0903W10043-11     773272       20 32-4870-61-01-R20          16.0          0.0          0.0
G0903W10043-11     773266       35 32-4870-61-01              16.0          0.0          0.0
G0903W10044-11     773473        5 US32-4871-11-01R05         44.0         44.0          0.0
G0903W10044-11     773472       10 US32-4871-11-01R07         44.0          0.0          0.0
G0903W10044-11     773471       13 US32-4871-11-01R10         44.0          0.0          0.0
G0903W10044-11     773470        5 US32-4871-11-01R15         44.0          0.0          0.0
G0903W10044-11     773470       10 US32-4871-11-01R15         44.0          0.0          0.0
G0903W10044-11     773469       25 US32-4871-11-01            44.0          0.0          0.0
G0903W10044-11     773469       30 US32-4871-11-01            44.0          0.0          0.0
G0903W10044-11     773469       35 US32-4871-11-01            44.0          0.0          0.0
G0903W10044-11     773469       40 US32-4871-11-01            44.0          0.0          0.0
G0903W10044-11     773469       45 US32-4871-11-01            44.0          0.0          0.0
G0903W10045-11
   771061        5 32-4875-52-02-R05          14.0         14.0          0.0
G0903W10045-11
   771060        5 32-4875-52-02-R10          14.0          0.0          0.0
G0903W10045-11
   771060       10 32-4875-52-02-R10          14.0          0.0          0.0
G0903W10045-11
   771060       15 32-4875-52-02-R10          14.0          0.0          0.0
G0903W10045-11
   771059       15 32-4875-52-02-R15          14.0          0.0          0.0
G0903W10045-11
   771055       25 32-4875-52-02              14.0          0.0          0.0
G0903W10045-11
   771055       30 32-4875-52-02              14.0          0.0          0.0
G0903W10045-11
   771055       35 32-4875-52-02              14.0          0.0          0.0
G0903W10045-11
   771055       40 32-4875-52-02              14.0          0.0          0.0
G0903W10046-11     773480        2 32-420323-1-RA             10.0         10.0          0.0
G0903W10046-11     773479        5 32-420323-1-R07            10.0         10.0          0.0
G0903W10046-11     773479       10 32-420323-1-R07            10.0         10.0          0.0
G0903W10046-11     773478       10 32-420323-1-R10            10.0         10.0          0.0
G0903W10046-11     773477       15 32-420323-1-R15            10.0         10.0          0.0
G0903W10046-11     773476       20 32-420323-1-R23            10.0          7.0          3.0
G0903W10046-11     773475       25 32-420323-1-R25             7.0          7.0          0.0
G0903W10046-11     773474       30 32-420323-1                 7.0          7.0          0.0
G0903W10046-11     773474       35 32-420323-1                 7.0          0.0          0.0
G0903W10047-11     773486        1 32-420325-1-R01            16.0         16.0          0.0
G0903W10047-11     773485        3 32-420325-1-R03            16.0         16.0          0.0
G0903W10047-11     773484        5 32-420325-1-R05            16.0         16.0          0.0
G0903W10047-11     773484       10 32-420325-1-R05            16.0         16.0          0.0
G0903W10047-11     773483       10 32-420325-1-R10            16.0          0.0          0.0
G0903W10047-11     773482        5 32-420325-1-R15            16.0          0.0          0.0
G0903W10047-11     773482       10 32-420325-1-R15            16.0          0.0          0.0
G0903W10047-11     773481       25 32-420325-1                16.0          0.0          0.0
G0903W10047-11     773481       30 32-420325-1                16.0          0.0          0.0
G0903W10048-11     773492        1 32-420326-1-R01            16.0         16.0          0.0
G0903W10048-11     773491        3 32-420326-1-R03            16.0         16.0          0.0
G0903W10048-11     773490        5 32-420326-1-R05            16.0         16.0          0.0
G0903W10048-11     773490       10 32-420326-1-R05            16.0         16.0          0.0
G0903W10048-11     773489       10 32-420326-1-R10            16.0         16.0          0.0
G0903W10048-11     773488        5 32-420326-1-R15            16.0         16.0          0.0
G0903W10048-11     773488       10 32-420326-1-R15            16.0         16.0          0.0
G0903W10048-11     773487       25 32-420326-1                16.0         16.0          0.0
G0903W10048-11     773487       30 32-420326-1                16.0          0.0          0.0
G0903W10049-21     773499        5 32-4672-49-07-R05          16.0         16.0          0.0
G0903W10049-21     773498       10 32-4672-49-07-R10          16.0         16.0          0.0
G0903W10049-21     773497       15 32-4672-49-07-R15          16.0         16.0          0.0
G0903W10049-21     773496       20 32-4672-49-07-R20          16.0         16.0          0.0
G0903W10049-21     773495       25 32-4672-49-07-R25          16.0         15.0          1.0
G0903W10049-21     773494       30 32-4672-49-07-R30          15.0         15.0          0.0
G0903W10049-21     773493       35 32-4672-49-07              15.0         15.0          0.0
G0903W10049-21     773493       40 32-4672-49-07              15.0          0.0          0.0
G0903W10049-21     773493       45 32-4672-49-07              15.0          0.0          0.0
G0903W10049-21     773493       50 32-4672-49-07              15.0          0.0          0.0
G0903W10049-21     773493       55 32-4672-49-07              15.0          0.0          0.0
G0903W10049-22     773506        5 32-4672-49-07-R05          16.0         16.0          0.0
G0903W10049-22     773505       10 32-4672-49-07-R10          16.0         16.0          0.0
G0903W10049-22     773504       15 32-4672-49-07-R15          16.0         16.0          0.0
G0903W10049-22     773503       20 32-4672-49-07-R20          16.0         16.0          0.0
G0903W10049-22     773502       25 32-4672-49-07-R25          16.0         16.0          0.0
G0903W10049-22     773501       30 32-4672-49-07-R30          16.0         16.0          0.0
G0903W10049-22     773500       35 32-4672-49-07              16.0         16.0          0.0
G0903W10049-22     773500       40 32-4672-49-07              16.0         16.0          0.0
G0903W10049-22     773500       45 32-4672-49-07              16.0         16.0          0.0
G0903W10049-22     773500       50 32-4672-49-07              16.0         16.0          0.0
G0903W10049-22     773500       55 32-4672-49-07              16.0         16.0          0.0
G0903W10050-11     773512        1 RD-1405-67-01-R01          22.0         22.0          0.0
G0903W10050-11     773511        5 RD-1405-67-01-R04          22.0         22.0          0.0
G0903W10050-11     773510        5 RD-1405-67-01-R05          22.0         22.0          0.0
G0903W10050-11     773510       10 RD-1405-67-01-R05          22.0         21.0          1.0
G0903W10050-11     773509       20 RD-1405-67-01-R10          21.0         21.0          0.0
G0903W10050-11     773508       17 RD-1405-67-01-R17          21.0         21.0          0.0
G0903W10050-11     773507       40 RD-1405-67-01              21.0          0.0          0.0
G0903W10050-11     773507       45 RD-1405-67-01              21.0          0.0          0.0
G0903W10051-11     773518        1 RD-1405-67-01-R01          24.0         24.0          0.0
G0903W10051-11     773517        5 RD-1405-67-01-R04          24.0         24.0          0.0
G0903W10051-11     773516        5 RD-1405-67-01-R05          24.0         24.0          0.0
G0903W10051-11     773516       10 RD-1405-67-01-R05          24.0         24.0          0.0
G0903W10051-11     773515       20 RD-1405-67-01-R10          24.0         23.0          1.0
G0903W10051-11     773514       17 RD-1405-67-01-R17          23.0         23.0          0.0
G0903W10051-11     773513       40 RD-1405-67-01              23.0         23.0          0.0
G0903W10051-11     773513       45 RD-1405-67-01              23.0          0.0          0.0
G0903W10052-21     773291        2 32-4870-62-01-R02          46.0         46.0          0.0
G0903W10052-21     773290        5 32-4870-62-01-R05          46.0         46.0          0.0
G0903W10052-21     773289       10 32-4870-62-01-R10          46.0         46.0          0.0
G0903W10052-21     773288       15 32-4870-62-01-R15          46.0         46.0          0.0
G0903W10052-21     773287       18 32-4870-62-01-R18          46.0         46.0          0.0
G0903W10052-21     773286       20 32-4870-62-01-R20          46.0         44.0          0.0
G0903W10052-21     773285       30 32-4870-62-01              46.0          0.0          0.0
G0903W10052-22     773298        2 32-4870-62-01-R02          46.0         46.0          0.0
G0903W10052-22     773297        5 32-4870-62-01-R05          46.0         46.0          0.0
G0903W10052-22     773296       10 32-4870-62-01-R10          46.0         46.0          0.0
G0903W10052-22     773295       15 32-4870-62-01-R15          46.0         46.0          0.0
G0903W10052-22     773294       18 32-4870-62-01-R18          46.0         46.0          0.0
G0903W10052-22     773293       20 32-4870-62-01-R20          46.0          9.0          0.0
G0903W10052-22     773292       30 32-4870-62-01              46.0          0.0          0.0
G0903W10053-81     770129        5 32-4872-76-01-R05          14.0         14.0          0.0
G0903W10053-81     770128        5 32-4872-76-01-R10          14.0          0.0          0.0
G0903W10053-81     770128       10 32-4872-76-01-R10          14.0          0.0          0.0
G0903W10053-81     770127       25 32-4872-76-01-R15          14.0          0.0          0.0
G0903W10053-81     770126       30 32-4872-76-01-R20          14.0          0.0          0.0
G0903W10053-81     770115       35 32-4872-76-01              14.0          0.0          0.0
G0903W10053-81     770115       40 32-4872-76-01              14.0          0.0          0.0
G0903W10053-82     770137        5 32-4872-76-01-R05          14.0         14.0          0.0
G0903W10053-82     770136        5 32-4872-76-01-R10          14.0         14.0          0.0
G0903W10053-82     770136       10 32-4872-76-01-R10          14.0         14.0          0.0
G0903W10053-82     770135       25 32-4872-76-01-R15          14.0         14.0          0.0
G0903W10053-82     770134       30 32-4872-76-01-R20          14.0         13.0          1.0
G0903W10053-82     770133       35 32-4872-76-01              13.0         13.0          0.0
G0903W10053-82     770133       40 32-4872-76-01              13.0         13.0          0.0
G0903W10053-83     770142        5 32-4872-76-01-R05          14.0         14.0          0.0
G0903W10053-83     770141        5 32-4872-76-01-R10          14.0         14.0          0.0
G0903W10053-83     770141       10 32-4872-76-01-R10          14.0         14.0          0.0
G0903W10053-83     770140       25 32-4872-76-01-R15          14.0          0.0          0.0
G0903W10053-83     770139       30 32-4872-76-01-R20          14.0          0.0          0.0
G0903W10053-83     770138       35 32-4872-76-01              14.0          0.0          0.0
G0903W10053-83     770138       40 32-4872-76-01              14.0          0.0          0.0
G0903W10053-84     770149        5 32-4872-76-01-R05          14.0         14.0          0.0
G0903W10053-84     770148        5 32-4872-76-01-R10          14.0         14.0          0.0
G0903W10053-84     770148       10 32-4872-76-01-R10          14.0         14.0          0.0
G0903W10053-84     770147       25 32-4872-76-01-R15          14.0         12.7          0.0
G0903W10053-84     770146       30 32-4872-76-01-R20          14.0          0.0          0.0
G0903W10053-84     770144       35 32-4872-76-01              14.0          0.0          0.0
G0903W10053-84     770144       40 32-4872-76-01              14.0          0.0          0.0
