#def REPORTPATH=$/QAD Addons/BI Report/xxpcinbt
#def :end
"地点";"库位";"零件";"批序号";"参考号";"标准系统数量";"期间成本数量";"数量差异"
"1000";"";"7.A2-FCR.327";"";"";33;33;0
"1000";"";"7.A2N2-CL.327";"";"";45;45;0
"1000";"";"7.A2N2-RBL.327";"";"";30;30;0
"1000";"";"7.A2N2-RBR.327";"";"";30;30;0
"1000";"";"7.A2N2-RCL.327";"";"";19;19;0
"1000";"";"7.A2N2-RCR.327";"";"";19;19;0
"1000";"";"7.A2U2-RRAR.327";"";"";31;31;0
"1000";"";"7.E2-CL.642";"";"";375;375;0
"1000";"";"7.E2-RBL.642";"";"";350;350;0
"1000";"";"7.E2-RBR.642";"";"";350;350;0
"1000";"";"7.E2-RCL.642";"";"";358;358;0
"1000";"";"7.E2-RCR.642";"";"";358;358;0
"1000";"";"7.E2-RRAR.642";"";"";387;387;0
"1000";"";"7.G5-FBL.642";"";"";374;374;0
"1000";"";"7.G5-FBR.642";"";"";374;374;0
"1000";"";"7.G5-FCL.642";"";"";320;320;0
"1000";"";"7.G5-FCR.642";"";"";320;320;0
"1000";"";"7.W3-RBL.167T";"";"";3;3;0
"1000";"";"8.01.01.01A";"";"";5187;5187;0
"1000";"";"8.01.01.02A";"";"";1682.7;1682.7;0
"1000";"";"8.01.04.01";"";"";65.7;65.7;0
"1000";"";"8.01.06.01";"";"";60;0;60
"1000";"";"8.01.08.01";"";"";49;49;0
"1000";"";"8.01.08.02";"";"";158;158;0
"1000";"";"8.01.08.03";"";"";119;119;0
"1000";"";"8.01.08.04";"";"";61;61;0
"1000";"";"8.01.09.02";"";"";18.77;18.77;0
"1000";"";"8.01.14.01";"";"";30;0;30
"1000";"";"8.01.29.01";"";"";18;18;0
"1000";"";"8.01.29.02";"";"";19.64;19.64;0
"1000";"";"8.02.01.01";"";"";1819.2;1819.2;0
"1000";"";"8.02.01.02";"";"";4810.6;4810.6;0
"1000";"";"8.02.01.02A";"";"";26061.6;26061.6;0
"1000";"";"8.02.03.01";"";"";1463.3;1463.3;0
"1000";"";"8.02.03.02";"";"";1052.799775;1052.799775;0
"1000";"";"8.02.03.03";"";"";326.2;326.2;0
"1000";"";"8.02.03.04";"";"";223.299691;223.299691;0
"1000";"";"8.02.03.05";"";"";2728;2728;0
"1000";"";"8.02.04.01";"";"";339.5;339.5;0
"1000";"";"8.02.04.02";"";"";352.000049;352.000049;0
"1000";"";"8.02.04.03";"";"";227.25;227.25;0
"1000";"";"8.02.04.04";"";"";299.000012;299.000012;0
"1000";"";"8.02.06.01";"";"";192.80002511;192.8000251;.00000001
"1000";"";"8.02.06.02";"";"";118.60001239;118.6000124;-.00000001
"1000";"";"8.02.07.01";"";"";273;273;0
"1000";"";"8.02.07.02";"";"";307.000242;307.000242;0
"1000";"";"8.02.08.01";"";"";370.00014875;370.0001488;-.00000005
"1000";"";"8.02.08.02";"";"";415.90014;415.90014;0
"1000";"";"8.02.08.03";"";"";616.00029;616.00029;0
"1000";"";"8.02.08.04";"";"";215.6;215.6;0
"1000";"";"8.02.08.05";"";"";148.999981;148.999981;0
"1000";"";"8.02.08.06";"";"";629.100275;629.100275;0
"1000";"";"8.02.09.01";"";"";114;114;0
"1000";"";"8.02.09.02";"";"";757.0000225;757.0000225;0
"1000";"";"8.02.09.03";"";"";528;528;0
"1000";"";"8.02.09.04";"";"";201.00003511;201.0000351;.00000001
"1000";"";"8.02.09.05";"";"";1714.00022;1714.00022;0
"1000";"";"8.02.13.01";"";"";1213;1213;0
"1000";"";"8.02.13.02";"";"";1818;1818;0
"1000";"";"8.02.13.03";"";"";1208;1208;0
"1000";"";"8.02.13.04";"";"";2332;2332;0
"1000";"";"8.02.13.05";"";"";2224;2224;0
"1000";"";"8.02.13.06";"";"";2230;2230;0
"1000";"";"8.02.14.01";"";"";1500;1500;0
"1000";"";"8.02.14.02";"";"";1503;1503;0
"1000";"";"8.02.14.03";"";"";1488;1488;0
"1000";"";"8.02.14.04";"";"";1484;1484;0
"1000";"";"8.02.15.01";"";"";5179;5179;0
"1000";"";"8.02.15.02";"";"";28820;28820;0
"1000";"";"8.02.15.03";"";"";2292;2292;0
"1000";"";"8.02.15.04";"";"";3605;3605;0
"1000";"";"8.02.15.05";"";"";1000;1000;0
"1000";"";"8.02.15.06";"";"";868;868;0
"1000";"";"8.02.15.07";"";"";2204;2204;0
"1000";"";"8.02.15.08";"";"";1047;1047;0
"1000";"";"8.02.15.09";"";"";1596;1596;0
"1000";"";"8.02.15.10";"";"";2131;2131;0
"1000";"";"8.02.15.11";"";"";795;795;0
"1000";"";"8.02.15.12";"";"";5075;5075;0
"1000";"";"8.02.15.13";"";"";853;853;0
"1000";"";"8.02.15.14";"";"";1775;1775;0
"1000";"";"8.02.15.15";"";"";1734;1734;0
"1000";"";"8.02.15.16";"";"";1132;1132;0
"1000";"";"8.02.15.17";"";"";12558;12558;0
"1000";"";"8.02.15.18";"";"";14368;14368;0
"1000";"";"8.02.15.19";"";"";2312;2312;0
"1000";"";"8.02.15.20";"";"";2414;2414;0
"1000";"";"8.02.15.21";"";"";2120;2120;0
"1000";"";"8.02.16.01";"";"";3066;3066;0
"1000";"";"8.02.16.02";"";"";3464;3464;0
"1000";"";"8.02.16.03";"";"";3352;3352;0
"1000";"";"8.02.16.04";"";"";2330;2330;0
"1000";"";"8.02.16.05";"";"";2155;2155;0
"1000";"";"8.02.16.06";"";"";3610;3610;0
"1000";"";"8.02.16.07";"";"";3094;3094;0
"1000";"";"8.02.16.08";"";"";3939;3939;0
"1000";"";"8.02.16.09";"";"";3920;3920;0
"1000";"";"8.02.16.10";"";"";4008;4008;0
"1000";"";"8.02.16.11";"";"";2242;2242;0
"1000";"";"8.02.17.01";"";"";1055;1055;0
"1000";"";"8.02.17.02";"";"";1613;1613;0
"1000";"";"8.02.17.03";"";"";2015;2015;0
"1000";"";"8.02.17.04";"";"";5469;5469;0
"1000";"";"8.02.17.05";"";"";8854;8854;0
"1000";"";"8.02.17.06";"";"";6279;6279;0
"1000";"";"8.02.17.07";"";"";5488;5488;0
"1000";"";"8.02.17.08";"";"";2375;2375;0
"1000";"";"8.02.17.09";"";"";3589;3589;0
"1000";"";"8.02.17.10";"";"";4434;4434;0
"1000";"";"8.02.17.11";"";"";2823;2823;0
"1000";"";"8.02.17.12";"";"";2969;2969;0
"1000";"";"8.02.17.13";"";"";2292;2292;0
"1000";"";"8.02.17.14";"";"";6362;6362;0
"1000";"";"8.02.17.15";"";"";770;770;0
"1000";"";"8.02.18.01";"";"";3932;3932;0
"1000";"";"8.02.18.02";"";"";2065;2065;0
"1000";"";"8.02.18.03";"";"";2527;2527;0
"1000";"";"8.02.20.01";"";"";5240;5240;0
"1000";"";"8.02.20.02";"";"";5628;5628;0
"1000";"";"8.02.20.03";"";"";9447;9447;0
"1000";"";"8.02.22.01";"";"";1769;1769;0
"1000";"";"8.02.22.02";"";"";2520;2520;0
"1000";"";"8.02.22.03";"";"";4335;4335;0
"1000";"";"8.02.22.04";"";"";3490;3490;0
"1000";"";"8.02.23.01";"";"";1880;1880;0
"1000";"";"8.02.23.02";"";"";1547;1547;0
"1000";"";"8.02.25.01";"";"";71;71;0
"1000";"";"8.02.25.02";"";"";155;155;0
"1000";"";"8.02.25.03";"";"";253;253;0
"1000";"";"8.02.25.04";"";"";59;59;0
"1000";"";"8.02.25.05";"";"";235;235;0
"1000";"";"8.02.25.06";"";"";31;31;0
"1000";"";"8.02.25.07";"";"";7;7;0
"1000";"";"8.02.25.08";"";"";10;10;0
"1000";"";"8.02.25.10";"";"";2;2;0
"1000";"";"8.02.25.11";"";"";420;420;0
"1000";"";"8.02.25.12";"";"";205;205;0
"1000";"";"8.02.25.13";"";"";42;42;0
"1000";"";"8.02.25.14";"";"";78;78;0
"1000";"";"8.02.25.15";"";"";1;1;0
"1000";"";"8.02.25.16";"";"";1;1;0
"1000";"";"8.02.26.01";"";"";2067;2067;0
"1000";"";"8.02.26.02";"";"";6202;6202;0
"1000";"";"8.02.26.03";"";"";25384;25384;0
"1000";"";"8.02.27.01";"";"";12086;12086;0
"1000";"";"8.02.27.02";"";"";5689;5689;0
"1000";"";"8.02.99.01";"";"";1586;1586;0
"1000";"";"8.02.99.02";"";"";3305;3305;0
"1000";"";"8.02.99.03";"";"";16961;16961;0
"1000";"";"8.02.99.04";"";"";3284;3284;0
"1000";"";"8.02.99.05";"";"";1674;1674;0
"1000";"";"8.02.99.06";"";"";13200;13200;0
"1000";"";"8.02.99.07";"";"";3190;3190;0
"1000";"";"8.02.99.08";"";"";13688;13688;0
"1000";"";"8.02.99.09";"";"";4805;4805;0
"1000";"";"8.02.99.10";"";"";10763;10763;0
"1000";"";"8.02.99.11";"";"";14326;14326;0
"1000";"";"8.02.99.12";"";"";3443;3443;0
"1000";"";"8.02.99.13";"";"";13906;13906;0
"1000";"";"8.02.99.14";"";"";13867;13867;0
"1000";"";"8.02.99.15";"";"";17278;17278;0
"1000";"";"8.02.99.16";"";"";10928;10928;0
"1000";"";"8.02.99.17";"";"";14299;14299;0
"1000";"";"8.02.99.18";"";"";2100;2100;0
"1000";"";"8.02.99.19";"";"";3235;3235;0
"1000";"";"8.02.99.20";"";"";3295;3295;0
"1000";"";"8.02.99.21";"";"";3287;3287;0
"1000";"";"8.02.99.22";"";"";3038;3038;0
"1000";"";"8.02.99.23";"";"";3315;3315;0
"1000";"";"8.02.99.24";"";"";8600;8600;0
"1000";"";"8.02.99.25";"";"";3566;3566;0
"1000";"";"8.02.99.26";"";"";3361;3361;0
"1000";"";"8.02.99.27";"";"";8100;8100;0
"1000";"";"8.02.99.28";"";"";541;541;0
"1000";"";"8.02.99.29";"";"";2209;2209;0
"1000";"";"8.02.99.30";"";"";1620;1620;0
"1000";"";"8.03.01.01";"";"";300.1;300.1;0
"1000";"";"8.03.01.01A";"";"";5784.1;5784.1;0
"1000";"";"8.03.01.02";"";"";2190.6;2190.6;0
"1000";"";"8.03.01.02A";"";"";5249.2;5249.2;0
"1000";"";"8.03.03.01";"";"";1216.3;1216.3;0
"1000";"";"8.03.03.02";"";"";1195.1;1195.1;0
"1000";"";"8.03.03.04";"";"";781.7;781.7;0
"1000";"";"8.03.03.05";"";"";764.23;764.23;0
"1000";"";"8.03.03.07";"";"";256;256;0
"1000";"";"8.03.03.08";"";"";431.2;431.2;0
"1000";"";"8.03.03.10";"";"";938;938;0
"1000";"";"8.03.03.11";"";"";1534;1534;0
"1000";"";"8.03.03.13";"";"";96.5;96.5;0
"1000";"";"8.03.03.14";"";"";25;25;0
"1000";"";"8.03.04.01";"";"";920;920;0
"1000";"";"8.03.04.02";"";"";1732.2;1732.2;0
"1000";"";"8.03.08.01";"";"";2199.5;2199.5;0
"1000";"";"8.03.08.02";"";"";26;26;0
"1000";"";"8.03.08.03";"";"";931.1;931.1;0
"1000";"";"8.03.08.04";"";"";921.3;921.3;0
"1000";"";"8.03.09.01";"";"";800;800;0
"1000";"";"8.03.09.02";"";"";1910;1910;0
"1000";"";"8.03.09.04";"";"";502;502;0
"1000";"";"8.03.09.05";"";"";999;999;0
"1000";"";"8.03.09.07";"";"";16;16;0
"1000";"";"8.03.09.08";"";"";22;22;0
"1000";"";"8.03.13.01";"";"";5414;5414;0
"1000";"";"8.03.13.02";"";"";16711;16711;0
"1000";"";"8.03.13.05";"";"";169;169;0
"1000";"";"8.03.14.01";"";"";8758;8758;0
"1000";"";"8.03.14.02";"";"";7796;7796;0
"1000";"";"8.03.14.03";"";"";2148;2148;0
"1000";"";"8.03.14.04";"";"";2402;2402;0
"1000";"";"8.03.15.01";"";"";4434;4434;0
"1000";"";"8.03.15.02";"";"";4256;4256;0
"1000";"";"8.03.15.03";"";"";4717;4717;0
"1000";"";"8.03.15.04";"";"";1818;1818;0
"1000";"";"8.03.15.05";"";"";1915;1915;0
"1000";"";"8.03.15.06";"";"";9382;9382;0
"1000";"";"8.03.15.07";"";"";4739;4739;0
"1000";"";"8.03.15.08";"";"";2079;2079;0
"1000";"";"8.03.15.09";"";"";3974;3974;0
"1000";"";"8.03.15.10";"";"";2119;2119;0
"1000";"";"8.03.15.11";"";"";2764;2764;0
"1000";"";"8.03.15.12";"";"";4941;4941;0
"1000";"";"8.03.15.13";"";"";2213;2213;0
"1000";"";"8.03.15.14";"";"";2803;2803;0
"1000";"";"8.03.15.15";"";"";6201;6201;0
"1000";"";"8.03.15.16";"";"";60304;60304;0
"1000";"";"8.03.15.17";"";"";1831;1831;0
"1000";"";"8.03.15.18";"";"";2410;2410;0
"1000";"";"8.03.15.19";"";"";7495;7495;0
"1000";"";"8.03.15.20";"";"";2746;2746;0
"1000";"";"8.03.15.27";"";"";3000;3000;0
"1000";"";"8.03.15.30";"";"";2173;2173;0
"1000";"";"8.03.15.31";"";"";2303;2303;0
"1000";"";"8.03.15.32";"";"";45610;45610;0
"1000";"";"8.03.15.34";"";"";2659;2659;0
"1000";"";"8.03.15.35";"";"";2152;2152;0
"1000";"";"8.03.15.36";"";"";7549;7549;0
"1000";"";"8.03.15.37";"";"";2435;2435;0
"1000";"";"8.03.15.38";"";"";4328;4328;0
"1000";"";"8.03.15.39";"";"";11272;11272;0
"1000";"";"8.03.15.40";"";"";4357;4357;0
"1000";"";"8.03.15.41";"";"";1938;1938;0
"1000";"";"8.03.15.42";"";"";1505;1505;0
"1000";"";"8.03.15.43";"";"";2585;2585;0
"1000";"";"8.03.15.44";"";"";2113;2113;0
"1000";"";"8.03.15.45";"";"";10420;10420;0
"1000";"";"8.03.15.46";"";"";6173;6173;0
"1000";"";"8.03.15.47";"";"";3779;3779;0
"1000";"";"8.03.15.48";"";"";3426;3426;0
"1000";"";"8.03.16.01";"";"";17243;17243;0
"1000";"";"8.03.16.02";"";"";16311;16311;0
"1000";"";"8.03.16.03";"";"";34609;34609;0
"1000";"";"8.03.16.04";"";"";34652;34652;0
"1000";"";"8.03.16.05";"";"";17155;17155;0
"1000";"";"8.03.16.06";"";"";17012;17012;0
"1000";"";"8.03.16.07";"";"";34639;34639;0
"1000";"";"8.03.16.08";"";"";1598;1598;0
"1000";"";"8.03.16.09";"";"";1910;1910;0
"1000";"";"8.03.16.10";"";"";34511;34511;0
"1000";"";"8.03.16.13";"";"";17278;17278;0
"1000";"";"8.03.16.16";"";"";17397;17397;0
"1000";"";"8.03.16.17";"";"";17173;17173;0
"1000";"";"8.03.16.18";"";"";8842;8842;0
"1000";"";"8.03.16.19";"";"";1741;1741;0
"1000";"";"8.03.16.20";"";"";7000;7000;0
"1000";"";"8.03.17.01";"";"";8765;8765;0
"1000";"";"8.03.17.03";"";"";8424;8424;0
"1000";"";"8.03.17.05";"";"";3579;3579;0
"1000";"";"8.03.17.06";"";"";2546;2546;0
"1000";"";"8.03.17.07";"";"";2082;2082;0
"1000";"";"8.03.17.08";"";"";1868;1868;0
"1000";"";"8.03.18.01";"";"";1763;1763;0
"1000";"";"8.03.18.02";"";"";4613;4613;0
"1000";"";"8.03.18.03";"";"";8433;8433;0
"1000";"";"8.03.19.01";"";"";978;978;0
"1000";"";"8.03.20.01";"";"";10519;10519;0
"1000";"";"8.03.20.02";"";"";38863;38863;0
"1000";"";"8.03.20.03";"";"";44717;44717;0
"1000";"";"8.03.21.01";"";"";4965;4965;0
"1000";"";"8.03.21.02";"";"";15784;15784;0
"1000";"";"8.03.21.03";"";"";15889;15889;0
"1000";"";"8.03.21.04";"";"";4996;4996;0
"1000";"";"8.03.22.01";"";"";635;635;0
"1000";"";"8.03.22.02";"";"";1220;1220;0
"1000";"";"8.03.23.01";"";"";16377;16377;0
"1000";"";"8.03.24.01";"";"";13121;13121;0
"1000";"";"8.03.25.01";"";"";382;382;0
"1000";"";"8.03.25.02";"";"";124;124;0
"1000";"";"8.03.25.03";"";"";100;100;0
"1000";"";"8.03.25.04";"";"";138;138;0
"1000";"";"8.03.25.05";"";"";70;70;0
"1000";"";"8.03.25.06";"";"";55;55;0
"1000";"";"8.03.25.07";"";"";35;35;0
"1000";"";"8.03.25.08";"";"";74;74;0
"1000";"";"8.03.25.09";"";"";76;76;0
"1000";"";"8.03.25.10";"";"";497;497;0
"1000";"";"8.03.25.11";"";"";128;128;0
"1000";"";"8.03.25.12";"";"";73;73;0
"1000";"";"8.03.25.13";"";"";6;6;0
"1000";"";"8.03.25.14";"";"";73;73;0
"1000";"";"8.03.25.15";"";"";5;5;0
"1000";"";"8.03.26.01";"";"";27200;27200;0
"1000";"";"8.03.27.01";"";"";8873;8873;0
"1000";"";"8.03.35.01";"";"";389104;389104;0
"1000";"";"8.03.99.01";"";"";398;398;0
"1000";"";"8.14.01.01";"";"";4431.6;4431.6;0
"1000";"";"8.14.01.01A";"";"";50125.7;50125.7;0
"1000";"";"8.14.01.01J";"";"";280.8;280.8;0
"1000";"";"8.14.03.01";"";"";912.6;912.6;0
"1000";"";"8.14.03.02";"";"";195.4;195.4;0
"1000";"";"8.14.07.01";"";"";296;296;0
"1000";"";"8.14.09.01";"";"";790;790;0
"1000";"";"8.14.09.02";"";"";1808;1808;0
"1000";"";"8.14.12.01";"";"";218.5;218.5;0
"1000";"";"8.14.12.02";"";"";188.6;188.6;0
"1000";"";"8.15.05.01";"";"";87.6;87.6;0
"1000";"";"8.15.05.02";"";"";0;11.4;-11.4
"1000";"";"8.15.05.03";"";"";75.6;75.6;0
"1000";"";"8.15.05.04";"";"";72.1;72.1;0
"1000";"";"8.15.05.99";"";"";11.4;0;11.4
"1000";"";"8.15.06.01";"";"";27.3;27.3;0
"1000";"";"8.15.15.13";"";"";197;197;0
"1000";"";"8.15.15.15";"";"";97;97;0
"1000";"";"8.15.15.16";"";"";14358;14358;0
"1000";"";"8.15.25.01";"";"";2;2;0
"1000";"";"8.15.25.03";"";"";1;1;0
"1000";"";"8.15.25.04";"";"";3;3;0
"1000";"";"8.15.25.05";"";"";10;10;0
"1000";"";"8.15.25.06";"";"";16;16;0
"1000";"";"8.15.30.03";"";"";196;196;0
"1000";"";"8.15.30.08";"";"";104;104;0
"1000";"";"8.15.30.09";"";"";60;60;0
"1000";"";"8.15.40.01";"";"";353;353;0
"1000";"";"8.15.53.01";"";"";73;73;0
"1000";"";"8.15.53.02";"";"";79.6;79.6;0
"1000";"";"9.01.01";"";"";500.8;500.8;0
"1000";"";"9.02.01";"";"";4187;4187;0
"1000";"";"9.03.01";"";"";1602;1602;0
"1000";"";"9.04.01";"";"";235.68;235.68;0
"1000";"";"9.05.01";"";"";167;167;0
"1000";"";"9.05.02";"";"";448;448;0
"1000";"";"9.05.03";"";"";300;300;0
"1000";"";"9.05.04";"";"";150;150;0
"1000";"";"9.05.05";"";"";155;155;0
"1000";"";"9.05.06";"";"";60;60;0
"1000";"";"9.05.15";"";"";19;19;0
"1000";"";"9.05.16";"";"";20;20;0
"1000";"";"9.05.18";"";"";10;10;0
"1000";"";"9.06.01";"";"";466;466;0
"1000";"";"9.06.02";"";"";470;470;0
"1000";"";"9.06.03";"";"";105;105;0
"1000";"";"9.06.06";"";"";354;354;0
"1000";"";"9.06.07";"";"";172;172;0
"1000";"";"9.06.08";"";"";19;19;0
"1000";"";"9.06.11";"";"";20;20;0
"1000";"";"9.07.01";"";"";58;58;0
"1000";"";"9.07.02";"";"";58;58;0
"1000";"";"9.07.03";"";"";12;12;0
"1000";"";"9.07.04";"";"";31;31;0
"1000";"";"9.08.01";"";"";44;44;0
"1000";"";"9.08.02";"";"";135;135;0
"1000";"";"9.08.03";"";"";188.5;188.5;0
"1000";"";"9.08.04";"";"";129.5;129.5;0
"1000";"";"9.08.05";"";"";20;20;0
"1000";"";"9.08.06";"";"";14.25;14.25;0
"1000";"";"9.08.07";"";"";32;32;0
"1000";"";"9.09.01";"";"";14;14;0
"1000";"";"9.10.01";"";"";190;190;0
"1000";"";"9.11.01";"";"";33;33;0
"1000";"";"9.11.02";"";"";41.5;41.5;0
"1000";"";"9.16.01";"";"";4;4;0
"1000";"";"9.18.01";"";"";100;100;0
"1000";"";"9.18.02";"";"";70;70;0
"1000";"";"9.18.03";"";"";45;45;0
"1000";"";"C01.01";"";"";-1000;-1000;0
"1000";"";"C01.02";"";"";1000;1000;0
"1000";"";"C01.03";"";"";1000;1000;0
