#def REPORTPATH=$/QAD Addons/BI Report/xxpcinbt
#def :end
"地点";"库位";"零件";"批序号";"参考号";"标准系统数量";"期间成本数量";"数量差异"
"1000";"";"3.22.02.07.01";"";"";150;150;0
"1000";"";"3.22.02.07.02";"";"";150;150;0
"1000";"";"3.22.02.07.03";"";"";150;150;0
"1000";"";"3.22.02.08.01";"";"";150;150;0
"1000";"";"3.22.02.08.02";"";"";150;150;0
"1000";"";"3.22.02.09.00";"";"";150;150;0
"1000";"";"3.22.02.10.01";"";"";150;150;0
"1000";"";"3.22.02.10.02";"";"";150;150;0
"1000";"";"3.22.02.12.00";"";"";150;150;0
"1000";"";"3.22.02.13.00";"";"";1680;1680;0
"1000";"";"3.22.02.14.00";"";"";1680;1680;0
"1000";"";"3.22.04.01.00";"";"";420;420;0
"1000";"";"3.22.04.02.00";"";"";420;420;0
"1000";"";"3.22.04.03.01";"";"";240;240;0
"1000";"";"3.22.04.03.02";"";"";180;180;0
"1000";"";"3.22.04.04.01";"";"";240;240;0
"1000";"";"3.22.04.04.02";"";"";180;180;0
"1000";"";"3.22.04.05.00";"";"";420;420;0
"1000";"";"3.22.04.06.00";"";"";420;420;0
"1000";"";"3.22.04.07.00";"";"";420;420;0
"1000";"";"3.22.04.08.00";"";"";420;420;0
"1000";"";"3.22.04.13.00";"";"";1470;1470;0
"1000";"";"3.22.04.14.00";"";"";1470;1470;0
"1000";"";"4.01.09.99.00.00";"";"";1921;1921;0
"1000";"";"4.01.09.99.01.00";"";"";6;6;0
"1000";"";"4.01.09.99.02.00";"";"";8;8;0
"1000";"";"4.01.09.99.03.00";"";"";2;2;0
"1000";"";"4.01.09.99.04.00";"";"";6;6;0
"1000";"";"4.01.09.99.05.00";"";"";6;6;0
"1000";"";"4.01.09.99.06.00";"";"";5;5;0
"1000";"";"4.01.09.99.07.00";"";"";5;5;0
"1000";"";"4.01.09.99.08.00";"";"";5;5;0
"1000";"";"4.01.09.99.09.00";"";"";6;6;0
"1000";"";"4.01.09.99.10.00";"";"";6;6;0
"1000";"";"4.01.09.99.11.00";"";"";3;3;0
"1000";"";"4.01.09.99.12.00";"";"";5;5;0
"1000";"";"4.01.09.99.13.00";"";"";4;4;0
"1000";"";"4.01.09.99.14.00";"";"";2;2;0
"1000";"";"4.01.09.99.15.00";"";"";5;5;0
"1000";"";"4.01.09.99.16.00";"";"";3;3;0
"1000";"";"4.01.09.99.17.00";"";"";5;5;0
"1000";"";"4.01.09.99.18.00";"";"";5;5;0
"1000";"";"4.01.09.99.19.00";"";"";5;5;0
"1000";"";"4.01.09.99.20.00";"";"";3;3;0
"1000";"";"4.01.09.99.21.00";"";"";3;3;0
"1000";"";"4.01.09.99.22.00";"";"";6;6;0
"1000";"";"4.01.09.99.23.00";"";"";5;5;0
"1000";"";"4.01.09.99.24.00";"";"";6;6;0
"1000";"";"4.01.09.99.25.00";"";"";5;5;0
"1000";"";"4.01.09.99.26.00";"";"";6;6;0
"1000";"";"4.01.09.99.27.00";"";"";6;6;0
"1000";"";"4.01.09.99.28.00";"";"";6;6;0
"1000";"";"4.01.09.99.29.00";"";"";1;1;0
"1000";"";"4.01.09.99.30.00";"";"";5;5;0
"1000";"";"4.01.09.99.31.00";"";"";6;6;0
"1000";"";"4.01.09.99.32.00";"";"";6;6;0
"1000";"";"4.01.09.99.33.00";"";"";4;4;0
"1000";"";"4.01.09.99.34.00";"";"";2;2;0
"1000";"";"4.01.09.99.35.00";"";"";4;4;0
"1000";"";"4.01.09.99.36.00";"";"";5;5;0
"1000";"";"4.01.09.99.37.00";"";"";4;4;0
"1000";"";"4.01.09.99.38.00";"";"";4;4;0
"1000";"";"4.01.09.99.39.00";"";"";6;6;0
"1000";"";"4.01.09.99.40.00";"";"";2;2;0
"1000";"";"4.01.09.99.41.00";"";"";3;3;0
"1000";"";"4.01.09.99.42.00";"";"";4;4;0
"1000";"";"4.01.09.99.43.00";"";"";1;1;0
"1000";"";"4.01.09.99.44.00";"";"";6;6;0
"1000";"";"4.01.09.99.45.00";"";"";2335;2335;0
"1000";"";"4.02.04.99.01.00";"";"";34;34;0
"1000";"";"4.02.04.99.02.00";"";"";32;32;0
"1000";"";"4.02.04.99.03.00";"";"";31;31;0
"1000";"";"4.02.04.99.04.00";"";"";74;74;0
"1000";"";"4.02.04.99.05.00";"";"";74;74;0
"1000";"";"4.02.04.99.06.00";"";"";74;74;0
"1000";"";"4.02.05.02.02.00";"";"";19;19;0
"1000";"";"4.02.05.02.03.00";"";"";21;21;0
"1000";"";"4.02.05.02.04.00";"";"";2;2;0
"1000";"";"4.02.05.02.05.00";"";"";23;23;0
"1000";"";"4.02.05.02.06.00";"";"";8;8;0
"1000";"";"4.02.05.02.07.00";"";"";7;7;0
"1000";"";"4.02.05.02.08.00";"";"";7;7;0
"1000";"";"4.02.05.05.03.00";"";"";74;74;0
"1000";"";"4.02.05.05.04.00";"";"";17;17;0
"1000";"";"4.02.05.05.05.00";"";"";37;37;0
"1000";"";"4.02.05.05.06.00";"";"";2;2;0
"1000";"";"4.02.05.06.02.00";"";"";72;72;0
"1000";"";"4.02.05.06.04.00";"";"";36;36;0
"1000";"";"4.02.05.06.05.00";"";"";36;36;0
"1000";"";"4.02.05.06.06.00";"";"";4;4;0
"1000";"";"4.02.05.08.01.00";"";"";14;14;0
"1000";"";"4.02.05.08.02.00";"";"";13;13;0
"1000";"";"4.02.05.08.03.00";"";"";11;11;0
"1000";"";"4.02.05.08.04.00";"";"";16;16;0
"1000";"";"4.02.05.11.02.00";"";"";27;27;0
"1000";"";"4.02.05.11.03.00";"";"";29;29;0
"1000";"";"4.02.05.11.04.00";"";"";3;3;0
"1000";"";"4.02.05.11.05.00";"";"";8;8;0
"1000";"";"4.02.05.18.01.00";"";"";2300;2300;0
"1000";"";"4.03.01.99.01";"";"";2524;2524;0
