#def REPORTPATH=$/QAD Addons/BI Report/xxpctrrr
#def :end
"年份";"期间";"地点代码";"地点说明";"件号";"件名";"事务类型";"数量";"不计成本数量";"计算成本数量";"标准系统数量";"数量差异"
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.03.02";"2WL-KJ,167,F/C-R(M/H) 81131-SWB0-7310-M1-P300";"ISS-TR";-90;0;-90;-90;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.03.02";"2WL-KJ,167,F/C-R(M/H) 81131-SWB0-7310-M1-P300";"RCT-TR";90;0;90;90;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.03.02";"2WL-KJ,167,F/C-R(M/H) 81131-SWB0-7310-M1-P300";"RCT-WO";90;0;90;90;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.04.01";"2WL-KJ,167,F/C-L(PWR) 81531-SWB0-8010-M1-P300";"ISS-SO";-60;0;-60;-60;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.04.01";"2WL-KJ,167,F/C-L(PWR) 81531-SWB0-8010-M1-P300";"ISS-TR";-90;0;-90;-90;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.04.01";"2WL-KJ,167,F/C-L(PWR) 81531-SWB0-8010-M1-P300";"RCT-TR";90;0;90;90;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.04.01";"2WL-KJ,167,F/C-L(PWR) 81531-SWB0-8010-M1-P300";"RCT-WO";60;0;60;60;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.04.02";"2WL-KJ,167,F/C-L(NOR) 81531-SWB0-7310-M1-P300";"ISS-SO";-90;0;-90;-90;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.04.02";"2WL-KJ,167,F/C-L(NOR) 81531-SWB0-7310-M1-P300";"ISS-TR";-90;0;-90;-90;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.04.02";"2WL-KJ,167,F/C-L(NOR) 81531-SWB0-7310-M1-P300";"RCT-TR";90;0;90;90;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.04.02";"2WL-KJ,167,F/C-L(NOR) 81531-SWB0-7310-M1-P300";"RCT-WO";90;0;90;90;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.05.00";"2WL-KJ,167,R/B-R 82121-SWB0-7110-M1-P300";"ISS-SO";-150;0;-150;-150;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.05.00";"2WL-KJ,167,R/B-R 82121-SWB0-7110-M1-P300";"ISS-TR";-150;0;-150;-150;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.05.00";"2WL-KJ,167,R/B-R 82121-SWB0-7110-M1-P300";"RCT-TR";150;0;150;150;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.05.00";"2WL-KJ,167,R/B-R 82121-SWB0-7110-M1-P300";"RCT-WO";150;0;150;150;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.06.00";"2WL-KJ,167,R/B-L 82521-SWB0-7110-M1-P300";"ISS-SO";-150;0;-150;-150;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.06.00";"2WL-KJ,167,R/B-L 82521-SWB0-7110-M1-P300";"ISS-TR";-150;0;-150;-150;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.06.00";"2WL-KJ,167,R/B-L 82521-SWB0-7110-M1-P300";"RCT-TR";150;0;150;150;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.06.00";"2WL-KJ,167,R/B-L 82521-SWB0-7110-M1-P300";"RCT-WO";150;0;150;150;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.07.00";"2WL-KJ,167,R/C-R 82131-SWB0-7110-M1-P300";"ISS-SO";-150;0;-150;-150;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.07.00";"2WL-KJ,167,R/C-R 82131-SWB0-7110-M1-P300";"ISS-TR";-150;0;-150;-150;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.07.00";"2WL-KJ,167,R/C-R 82131-SWB0-7110-M1-P300";"RCT-TR";150;0;150;150;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.07.00";"2WL-KJ,167,R/C-R 82131-SWB0-7110-M1-P300";"RCT-WO";150;0;150;150;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.08.00";"2WL-KJ,167,R/C-L 82531-SWB0-7110-M1-P300";"ISS-SO";-150;0;-150;-150;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.08.00";"2WL-KJ,167,R/C-L 82531-SWB0-7110-M1-P300";"ISS-TR";-150;0;-150;-150;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.08.00";"2WL-KJ,167,R/C-L 82531-SWB0-7110-M1-P300";"RCT-TR";150;0;150;150;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.08.00";"2WL-KJ,167,R/C-L 82531-SWB0-7110-M1-P300";"RCT-WO";150;0;150;150;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.13.00";"2WL-KJ,167,FR-A/R-R 81181-SWB0-7310-M1-P300";"ISS-SO";-1350;0;-1350;-1350;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.13.00";"2WL-KJ,167,FR-A/R-R 81181-SWB0-7310-M1-P300";"ISS-TR";-1860;0;-1860;-1860;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.13.00";"2WL-KJ,167,FR-A/R-R 81181-SWB0-7310-M1-P300";"RCT-TR";1860;0;1860;1860;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.13.00";"2WL-KJ,167,FR-A/R-R 81181-SWB0-7310-M1-P300";"RCT-WO";1170;0;1170;1170;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.14.00";"2WL-KJ,167,FR-A/R-L 81581-SWB0-7310-M1-P300";"ISS-SO";-1350;0;-1350;-1350;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.14.00";"2WL-KJ,167,FR-A/R-L 81581-SWB0-7310-M1-P300";"ISS-TR";-1860;0;-1860;-1860;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.14.00";"2WL-KJ,167,FR-A/R-L 81581-SWB0-7310-M1-P300";"RCT-TR";1860;0;1860;1860;0
2009;9;"1000";"宁波提爱思(加工区）";"3.22.04.14.00";"2WL-KJ,167,FR-A/R-L 81581-SWB0-7310-M1-P300";"RCT-WO";1170;0;1170;1170;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.02.01.00";"FBLA12KA--STK9RK01 2RS-556色FB/L-1牛皮裁片";"ISS-TR";-4;0;-4;-4;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.02.01.00";"FBLA12KA--STK9RK01 2RS-556色FB/L-1牛皮裁片";"RCT-TR";4;0;4;4;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.02.01.00";"FBLA12KA--STK9RK01 2RS-556色FB/L-1牛皮裁片";"RCT-WO";4;0;4;4;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.02.02.00";"FBLA11KB--STK9RK 2RS-556色FB/L-2牛皮裁片";"ISS-TR";-10;0;-10;-10;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.02.02.00";"FBLA11KB--STK9RK 2RS-556色FB/L-2牛皮裁片";"RCT-TR";10;0;10;10;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.02.02.00";"FBLA11KB--STK9RK 2RS-556色FB/L-2牛皮裁片";"RCT-WO";10;0;10;10;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.02.03.00";"FBLA11KC--STK9RK 2RS-556色FB/L-3牛皮裁片";"ISS-TR";-6;0;-6;-6;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.02.03.00";"FBLA11KC--STK9RK 2RS-556色FB/L-3牛皮裁片";"RCT-TR";6;0;6;6;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.02.03.00";"FBLA11KC--STK9RK 2RS-556色FB/L-3牛皮裁片";"RCT-WO";6;0;6;6;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.02.04.00";"FBLA11KD--STK9RK 2RS-556色FB/L-4牛皮裁片";"ISS-TR";-3;0;-3;-3;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.02.04.00";"FBLA11KD--STK9RK 2RS-556色FB/L-4牛皮裁片";"RCT-TR";3;0;3;3;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.02.04.00";"FBLA11KD--STK9RK 2RS-556色FB/L-4牛皮裁片";"RCT-WO";3;0;3;3;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.02.05.00";"FBLA11KE--STK9RK 2RS-556色FB/L-5牛皮裁片";"ISS-TR";-2;0;-2;-2;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.02.05.00";"FBLA11KE--STK9RK 2RS-556色FB/L-5牛皮裁片";"RCT-TR";2;0;2;2;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.02.05.00";"FBLA11KE--STK9RK 2RS-556色FB/L-5牛皮裁片";"RCT-WO";2;0;2;2;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.02.06.00";"FBLA12KF--STK9RK01 2RS-556色FB/L-6牛皮裁片";"ISS-TR";-4;0;-4;-4;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.02.06.00";"FBLA12KF--STK9RK01 2RS-556色FB/L-6牛皮裁片";"RCT-TR";4;0;4;4;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.02.06.00";"FBLA12KF--STK9RK01 2RS-556色FB/L-6牛皮裁片";"RCT-WO";4;0;4;4;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.02.07.00";"FBLA12KG--STK9RK01 2RS-556色FB/L-7牛皮裁片";"ISS-TR";-2;0;-2;-2;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.02.07.00";"FBLA12KG--STK9RK01 2RS-556色FB/L-7牛皮裁片";"RCT-TR";2;0;2;2;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.02.07.00";"FBLA12KG--STK9RK01 2RS-556色FB/L-7牛皮裁片";"RCT-WO";2;0;2;2;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.02.08.00";"FBLA13KH--STK9MP 2RS-556色FB/L-8牛皮裁片";"ISS-TR";-2;0;-2;-2;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.02.08.00";"FBLA13KH--STK9MP 2RS-556色FB/L-8牛皮裁片";"RCT-TR";2;0;2;2;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.02.08.00";"FBLA13KH--STK9MP 2RS-556色FB/L-8牛皮裁片";"RCT-WO";2;0;2;2;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.03.01.00";"FBRA12KA--STK9RK01 2RS-556色FB/R-1牛皮裁片";"ISS-TR";-2;0;-2;-2;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.03.01.00";"FBRA12KA--STK9RK01 2RS-556色FB/R-1牛皮裁片";"RCT-TR";2;0;2;2;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.03.01.00";"FBRA12KA--STK9RK01 2RS-556色FB/R-1牛皮裁片";"RCT-WO";2;0;2;2;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.03.02.00";"FBRA11KB--STK9RK 2RS-556色FB/R-2牛皮裁片";"ISS-TR";-8;0;-8;-8;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.03.02.00";"FBRA11KB--STK9RK 2RS-556色FB/R-2牛皮裁片";"RCT-TR";8;0;8;8;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.03.02.00";"FBRA11KB--STK9RK 2RS-556色FB/R-2牛皮裁片";"RCT-WO";8;0;8;8;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.03.03.00";"FBRA11KC--STK9RK 2RS-556色FB/R-3牛皮裁片";"ISS-TR";-9;0;-9;-9;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.03.03.00";"FBRA11KC--STK9RK 2RS-556色FB/R-3牛皮裁片";"RCT-TR";9;0;9;9;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.03.03.00";"FBRA11KC--STK9RK 2RS-556色FB/R-3牛皮裁片";"RCT-WO";9;0;9;9;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.03.04.00";"FBRA11KD--STK9RK 2RS-556色FB/R-4牛皮裁片";"ISS-TR";-3;0;-3;-3;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.03.04.00";"FBRA11KD--STK9RK 2RS-556色FB/R-4牛皮裁片";"RCT-TR";3;0;3;3;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.03.04.00";"FBRA11KD--STK9RK 2RS-556色FB/R-4牛皮裁片";"RCT-WO";3;0;3;3;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.03.05.00";"FBRA11KE--STK9RK 2RS-556色FB/R-5牛皮裁片";"ISS-TR";-5;0;-5;-5;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.03.05.00";"FBRA11KE--STK9RK 2RS-556色FB/R-5牛皮裁片";"RCT-TR";5;0;5;5;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.03.05.00";"FBRA11KE--STK9RK 2RS-556色FB/R-5牛皮裁片";"RCT-WO";5;0;5;5;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.03.06.00";"FBRA11KF--STK9RK 2RS-556色FB/R-6牛皮裁片";"ISS-TR";-7;0;-7;-7;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.03.06.00";"FBRA11KF--STK9RK 2RS-556色FB/R-6牛皮裁片";"RCT-TR";7;0;7;7;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.03.06.00";"FBRA11KF--STK9RK 2RS-556色FB/R-6牛皮裁片";"RCT-WO";7;0;7;7;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.03.07.00";"FBRA12KG--STK9RK01 2RS-556色FB/R-7牛皮裁片";"ISS-TR";-9;0;-9;-9;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.03.07.00";"FBRA12KG--STK9RK01 2RS-556色FB/R-7牛皮裁片";"RCT-TR";9;0;9;9;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.03.07.00";"FBRA12KG--STK9RK01 2RS-556色FB/R-7牛皮裁片";"RCT-WO";9;0;9;9;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.03.08.00";"FBRA13KH--STK9MP 2RS-556色FB/R-8牛皮裁片";"ISS-TR";-7;0;-7;-7;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.03.08.00";"FBRA13KH--STK9MP 2RS-556色FB/R-8牛皮裁片";"RCT-TR";7;0;7;7;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.03.08.00";"FBRA13KH--STK9MP 2RS-556色FB/R-8牛皮裁片";"RCT-WO";7;0;7;7;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.05.01.00";"FCLA11KA--STK9RK 2RS-556色FC/L-1牛皮裁片";"ISS-TR";-1;0;-1;-1;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.05.01.00";"FCLA11KA--STK9RK 2RS-556色FC/L-1牛皮裁片";"RCT-TR";1;0;1;1;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.05.01.00";"FCLA11KA--STK9RK 2RS-556色FC/L-1牛皮裁片";"RCT-WO";1;0;1;1;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.05.04.00";"FCLA11KD--STK9RK 2RS-556色FC/L-4牛皮裁片";"ISS-TR";-2;0;-2;-2;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.05.04.00";"FCLA11KD--STK9RK 2RS-556色FC/L-4牛皮裁片";"RCT-TR";2;0;2;2;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.05.04.00";"FCLA11KD--STK9RK 2RS-556色FC/L-4牛皮裁片";"RCT-WO";2;0;2;2;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.06.06.00";"FCRA11KF--STK9RK 2RS-556色FC/R-6牛皮裁片";"ISS-TR";-1;0;-1;-1;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.06.06.00";"FCRA11KF--STK9RK 2RS-556色FC/R-6牛皮裁片";"RCT-TR";1;0;1;1;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.06.06.00";"FCRA11KF--STK9RK 2RS-556色FC/R-6牛皮裁片";"RCT-WO";1;0;1;1;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.08.01.00";"RBLA00KA--STK9DK01 2RS-556色RB/L-1牛皮裁片";"ISS-TR";-4;0;-4;-4;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.08.01.00";"RBLA00KA--STK9DK01 2RS-556色RB/L-1牛皮裁片";"RCT-TR";4;0;4;4;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.08.01.00";"RBLA00KA--STK9DK01 2RS-556色RB/L-1牛皮裁片";"RCT-WO";4;0;4;4;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.08.02.00";"RBLA00KB--STK9DK01 2RS-556色RB/L-2牛皮裁片";"ISS-TR";-2;0;-2;-2;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.08.02.00";"RBLA00KB--STK9DK01 2RS-556色RB/L-2牛皮裁片";"RCT-TR";2;0;2;2;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.08.02.00";"RBLA00KB--STK9DK01 2RS-556色RB/L-2牛皮裁片";"RCT-WO";2;0;2;2;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.08.03.00";"RBLA01KC--STK9DK01 2RS-556色RB/L-3牛皮裁片";"ISS-TR";-1;0;-1;-1;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.08.03.00";"RBLA01KC--STK9DK01 2RS-556色RB/L-3牛皮裁片";"RCT-TR";1;0;1;1;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.08.03.00";"RBLA01KC--STK9DK01 2RS-556色RB/L-3牛皮裁片";"RCT-WO";1;0;1;1;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.08.04.00";"RBLA00KD--STK9DK01 2RS-556色RB/L-4牛皮裁片";"ISS-TR";-1;0;-1;-1;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.08.04.00";"RBLA00KD--STK9DK01 2RS-556色RB/L-4牛皮裁片";"RCT-TR";1;0;1;1;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.08.04.00";"RBLA00KD--STK9DK01 2RS-556色RB/L-4牛皮裁片";"RCT-WO";1;0;1;1;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.09.01.00";"RBRA00KA--STK9DK01 2RS-556色RB/R-1牛皮裁片";"ISS-TR";-2;0;-2;-2;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.09.01.00";"RBRA00KA--STK9DK01 2RS-556色RB/R-1牛皮裁片";"RCT-TR";2;0;2;2;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.09.01.00";"RBRA00KA--STK9DK01 2RS-556色RB/R-1牛皮裁片";"RCT-WO";2;0;2;2;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.09.02.00";"RBRA00KB--STK9DK01 2RS-556色RB/R-2牛皮裁片";"ISS-TR";-2;0;-2;-2;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.09.02.00";"RBRA00KB--STK9DK01 2RS-556色RB/R-2牛皮裁片";"RCT-TR";2;0;2;2;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.09.02.00";"RBRA00KB--STK9DK01 2RS-556色RB/R-2牛皮裁片";"RCT-WO";2;0;2;2;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.09.03.00";"RBRA01KC--STK9DK01 2RS-556色RB/R-3牛皮裁片";"ISS-TR";-6;0;-6;-6;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.09.03.00";"RBRA01KC--STK9DK01 2RS-556色RB/R-3牛皮裁片";"RCT-TR";6;0;6;6;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.09.03.00";"RBRA01KC--STK9DK01 2RS-556色RB/R-3牛皮裁片";"RCT-WO";6;0;6;6;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.11.02.00";"RCLA00KB--STK9DK01 2RS-556色RC/L-2牛皮裁片";"ISS-TR";-2;0;-2;-2;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.11.02.00";"RCLA00KB--STK9DK01 2RS-556色RC/L-2牛皮裁片";"RCT-TR";2;0;2;2;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.11.02.00";"RCLA00KB--STK9DK01 2RS-556色RC/L-2牛皮裁片";"RCT-WO";2;0;2;2;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.12.04.00";"RCRA00KD--STK9DK01 2RS-556色RC/R-4牛皮裁片";"ISS-TR";-1;0;-1;-1;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.12.04.00";"RCRA00KD--STK9DK01 2RS-556色RC/R-4牛皮裁片";"RCT-TR";1;0;1;1;0
2009;9;"1000";"宁波提爱思(加工区）";"4.02.05.12.04.00";"RCRA00KD--STK9DK01 2RS-556色RC/R-4牛皮裁片";"RCT-WO";1;0;1;1;0
2009;9;"1000";"宁波提爱思(加工区）";"4.03.01.99.01";"81531-SWA7-A010-25-0000 WQ-TRIM  PLAIE  C  L";"ISS-WO";-2524;0;-2524;-2524;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.08.01.00";"82521-SWA7-0000-LA-0003 WQ-UK-327-RB/L-1皮裁片";"ISS-TR";-92;0;-92;-92;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.08.01.00";"82521-SWA7-0000-LA-0003 WQ-UK-327-RB/L-1皮裁片";"RCT-TR";92;0;92;92;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.08.02.00";"82521-SWA7-0000-LE-0003 WQ-UK-327-RB/L-2皮裁片";"ISS-TR";-92;0;-92;-92;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.08.02.00";"82521-SWA7-0000-LE-0003 WQ-UK-327-RB/L-2皮裁片";"RCT-TR";92;0;92;92;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.08.03.00";"82521-SWA7-0000-LB-0003 WQ-UK-327-RB/L-3皮裁片";"ISS-TR";-46;0;-46;-46;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.08.03.00";"82521-SWA7-0000-LB-0003 WQ-UK-327-RB/L-3皮裁片";"RCT-TR";46;0;46;46;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.08.04.00";"82521-SWA7-0000-LC-0003 WQ-UK-327-RB/L-4皮裁片";"ISS-TR";-46;0;-46;-46;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.08.04.00";"82521-SWA7-0000-LC-0003 WQ-UK-327-RB/L-4皮裁片";"RCT-TR";46;0;46;46;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.08.05.00";"82521-SWA7-0000-LD-0003 WQ-UK-327-RB/L-5皮裁片";"ISS-TR";-46;0;-46;-46;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.08.05.00";"82521-SWA7-0000-LD-0003 WQ-UK-327-RB/L-5皮裁片";"RCT-TR";46;0;46;46;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.09.03.00";"82121-SWA7-0000-LB-0003 WQ-UK-327-RB/R-3皮裁片";"ISS-TR";-46;0;-46;-46;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.09.03.00";"82121-SWA7-0000-LB-0003 WQ-UK-327-RB/R-3皮裁片";"RCT-TR";46;0;46;46;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.09.04.00";"82121-SWA7-0000-LC-0003 WQ-UK-327-RB/R-4皮裁片";"ISS-TR";-46;0;-46;-46;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.09.04.00";"82121-SWA7-0000-LC-0003 WQ-UK-327-RB/R-4皮裁片";"RCT-TR";46;0;46;46;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.09.05.00";"82121-SWA7-0000-LD-0003 WQ-UK-327-RB/R-5皮裁片";"ISS-TR";-46;0;-46;-46;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.09.05.00";"82121-SWA7-0000-LD-0003 WQ-UK-327-RB/R-5皮裁片";"RCT-TR";46;0;46;46;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.11.01.00";"82531-SWA7-0000-LA-0003 WQ-UK-327-RC/L-1皮裁片";"ISS-TR";-115;0;-115;-115;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.11.01.00";"82531-SWA7-0000-LA-0003 WQ-UK-327-RC/L-1皮裁片";"ISS-WO";-23;0;-23;-23;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.11.01.00";"82531-SWA7-0000-LA-0003 WQ-UK-327-RC/L-1皮裁片";"RCT-TR";115;0;115;115;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.11.02.00";"82531-SWA7-0000-LJ-0003 WQ-UK-327-RC/L-2皮裁片";"ISS-TR";-115;0;-115;-115;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.11.02.00";"82531-SWA7-0000-LJ-0003 WQ-UK-327-RC/L-2皮裁片";"ISS-WO";-23;0;-23;-23;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.11.02.00";"82531-SWA7-0000-LJ-0003 WQ-UK-327-RC/L-2皮裁片";"RCT-TR";115;0;115;115;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.11.03.00";"82531-SWA7-0000-LB-0004 WQ-UK-327-RC/L-3皮裁片";"ISS-TR";-115;0;-115;-115;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.11.03.00";"82531-SWA7-0000-LB-0004 WQ-UK-327-RC/L-3皮裁片";"ISS-WO";-23;0;-23;-23;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.11.03.00";"82531-SWA7-0000-LB-0004 WQ-UK-327-RC/L-3皮裁片";"RCT-TR";115;0;115;115;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.11.04.00";"82531-SWA7-0000-LC-0004 WQ-UK-327-RC/L-4皮裁片";"ISS-TR";-46;0;-46;-46;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.11.04.00";"82531-SWA7-0000-LC-0004 WQ-UK-327-RC/L-4皮裁片";"RCT-TR";46;0;46;46;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.11.05.00";"82531-SWA7-0000-LE-0004 WQ-UK-327-RC/L-5皮裁片";"ISS-TR";-46;0;-46;-46;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.11.05.00";"82531-SWA7-0000-LE-0004 WQ-UK-327-RC/L-5皮裁片";"RCT-TR";46;0;46;46;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.12.01.00";"82131-SWA7-0000-LA-0003 WQ-UK-327-RC/R-1皮裁片";"ISS-TR";-69;0;-69;-69;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.12.01.00";"82131-SWA7-0000-LA-0003 WQ-UK-327-RC/R-1皮裁片";"ISS-WO";-23;0;-23;-23;0
2009;9;"1000";"宁波提爱思(加工区）";"4.05.01.12.01.00";"82131-SWA7-0000-LA-0003 WQ-UK-327-RC/R-1皮裁片";"RCT-TR";69;0;69;69;0
