xxmgmer2.p 0905                         15.1           36.25.99.3 ²Ëµ¥ÏµÍ³±¨±í                                        ÈÕÆÚ: 11/03/07
Ò³:      1                                            ¹ãÖÝÕÑºÍÆû³µÁã²¿¼þÓÐÏÞ¹«Ë¾                                      Ê±¼ä: 11:25:19
"mnt_lang"	"mnd_nbr"	"mnd_select"	"mnd_label"	"mnd_name"	"mnd_exec"	"mnd_help"
"US"	"1"	5	"Item Reports Menu"	""	"1.5"	""
"US"	"1.5"	1	"Item Master Report"	""	"ppptrp.p"	"ppptrp.hlp"
"US"	"1.5"	2	"Item Data Report"	""	"ppptrp11.p"	"ppptrp11.hlp"
"US"	"1.5"	3	"Item Inventory Data Report"	""	"ppptrp20.p"	"ppptrp20.hlp"
"US"	"1.5"	4	"Item Planning Report"	""	"ppptrp12.p"	"ppptrp12.hlp"
"US"	"1.5"	5	"Item Lead Time Report"	""	"ppptrp14.p"	"ppptrp14.hlp"
"US"	"1.5"	6	"Item Cost Report"	""	"ppptrp13.p"	"ppptrp13.hlp"
"US"	"1.5"	8	"Stock Status Report"	""	"ppptrp01.p"	"ppptrp01.hlp"
"US"	"1.5"	9	"Item ABC Status Report/Update"	""	"ppptrp04.p"	"ppptrp04.hlp"
"US"	"1.5"	10	"Reorder Report"	""	"ppptrp02.p"	"ppptrp02.hlp"
"US"	"1.5"	12	"Item Master Comments Report"	""	"ppcmrp.p"	"ppcmrp.hlp"
"US"	"1.5"	13	"Item Labels Print"	""	"ppptrp09.p"	"ppptrp09.hlp"
"US"	"1.5"	15	"Item-Site Inventory Data Report"	""	"pppsrp20.p"	"pppsrp20.hlp"
"US"	"1.5"	16	"Item-Site Planning Report"	""	"pppsrp12.p"	"pppsrp12.hlp"
"US"	"1.5"	17	"Item-Site Lead Time Report"	""	"pppsrp14.p"	"pppsrp14.hlp"
"US"	"1.5"	21	"Inventory Valuation Report"	""	"ppptrp03.p"	"ppptrp03.hlp"
"US"	"1.5"	22	"Inventory Valuation by Location"	""	"ppptrp05.p"	"ppptrp05.hlp"
"US"	"1.5"	23	"Inventory Valuation as of Date"	""	"ppptrp06.p"	"ppptrp06.hlp"
"US"	"1.5"	24	"Inventory Valuation as of by Loc"	""	"ppptrp07.p"	"ppptrp07.hlp"
"US"	"1"	6	"Item Browse"	""	"ppbr013.p"	"ppptiq.hlp"
"US"	"1"	8	"Analysis Code Menu"	""	"1.8"	""
"US"	"1.8"	1	"Analysis Code Maintenance"	""	"ppacmt.p"	"ppacmt.hlp"
"US"	"1.8"	2	"Analysis Code Inquiry"	""	"ppaciq01.p"	"ppaciq01.hlp"
"US"	"1.8"	4	"Analysis Code Selection Maint"	""	"ppacrl.p"	"ppacrl.hlp"
"US"	"1.8"	5	"Analysis Code Selection Inquiry"	""	"ppaciq03.p"	"ppaciq03.hlp"
"US"	"1.8"	7	"Analysis Code Link Maintenance"	""	"ppacln.p"	"ppacln.hlp"
"US"	"1.8"	8	"Analysis Code Link Inquiry"	""	"ppaciq02.p"	"ppaciq02.hlp"
"US"	"1.8"	9	"Analysis Code Where-Linked Inq"	""	"ppaciq07.p"	"ppaciq07.hlp"
"US"	"1.8"	13	"Analysis Code Detail Maintenance"	""	"ppacdt.p"	"ppacdt.hlp"
"US"	"1.8"	14	"Analysis Code Detail Inquiry"	""	"ppaciq04.p"	"ppaciq04.hlp"
"US"	"1.8"	15	"Analysis Code Where-Used Inquiry"	""	"ppaciq05.p"	"ppaciq05.hlp"
"US"	"1.8"	17	"Analysis Code Report"	""	"ppacrp01.p"	"ppacrp01.hlp"
"US"	"1.8"	19	"Analysis Code Detail Build"	""	"ppacut01.p"	"ppacut01.hlp"
"US"	"1.8"	20	"Analysis Code Copy"	""	"ppaccp.p"	"ppaccp.hlp"
"US"	"1"	9	"Product Change Control Menu"	""	"1.9"	""
"US"	"1.9"	1	"PCC Setup Menu"	""	"1.9.1"	""
"US"	"1.9.1"	1	"Group Maintenance"	""	"pcgrmt.p"	""
"US"	"1.9.1"	2	"Group Browse"	""	"pcbr004.p"	"pcbr004.hlp"
"US"	"1.9.1"	3	"Maintain Users in Groups"	""	"pcurgrmt.p"	""
"US"	"1.9.1"	4	"Groups by User Browse"	""	"pcbr002.p"	""
"US"	"1.9.1"	5	"Routing Slip Maintenance"	""	"pcrsmt.p"	""
"US"	"1.9.1"	6	"Routing Slip Browse"	""	"pcbr006.p"	"pcbr006.hlp"
"US"	"1.9.1"	7	"Routing Slip Copy"	""	"pcrscp.p"	""
"US"	"1.9.1"	9	"PCR/PCO Type Maintenance"	""	"pctypemt.p"	"pctypemt.hlp"
"US"	"1.9.1"	10	"PCR/PCO Type Browse"	""	"pcbr026.p"	"pcbr026.hlp"
"US"	"1.9"	2	"PCR/PCO Maintenance Menu"	""	"1.9.2"	""
"US"	"1.9.2"	1	"PCR Maintenance"	""	"ecpcrmt.p"	"ecpcrmt.hlp"
