帐户;分帐户;成本中心;金额
100204;;42;0
100204;;43;0
100204;;44;0
100204;;45;0
100204;;46;0
100204;;47;0
100204;;51;0
100204;;52;0
100204;;53;0
100204;;54;0
100204;;55;0
100204;;56;0
100204;;57;0
100204;;58;0
100204;;60;0
100205;;;0
100205;;52;0
100205;;53;0
100205;;54;0
100206;;11;0
100206;;12;0
100206;;13;0
100206;;14;0
100206;;15;0
100206;;16;0
100206;;17;0
100206;;21;0
100206;;22;0
100206;;23;0
100206;;31;0
100206;;32;0
100206;;33;0
100206;;34;0
100206;;35;0
100206;;36;0
100206;;41;0
100206;;42;0
100206;;43;0
100206;;44;0
100206;;45;0
100206;;46;0
100206;;51;0
100206;;52;0
100206;;53;0
100206;;54;0
100206;;55;0
100206;;56;0
100206;;57;0
100206;;58;0
100206;;60;0
100207;;31;0
100207;;41;0
100207;;43;0
100207;;45;0
100207;;51;0
100207;;52;0
100207;;53;0
100207;;56;0
100207;;58;0
100207;;60;0
1002081;;53;0
1002082;;53;0
1002091;;53;0
1002092;;53;0
1002101;;53;0
1002102;;53;0
100211;;52;0
100211;;53;0
100211;;56;0
1009101;;53;0
1009103;;53;0
1009201;;53;0
1009202;;53;0
1009301;;53;0
1009302;;53;0
1009303;;53;0
1009401;;53;0
101201;20000003;53;51608
101203;20000003;53;682039
101203;20000005;53;887438
101205;20000003;53;3000000
101207;20000003;53;0
1111;604002;;0
11220101;30000001;;26553.93
11220101;30000003;;17103068.29
11220101;30000004;;1155758.8
11220101;30000005;;3603306.98
11220101;30000006;;21575.31
11220101;30000009;;20798.68
11220101;30010001;;25943.05
11220101;30020003;;5804106.36
11220101;30020004;;4673694.59
11220101;30020005;;322773.75
11220101;30020006;;992011.14
11220102;30000003;;96881283.03
11220102;30000004;;0
11220102;30000005;;70615532.8
11220102;30000007;;5924250.75
11220102;30000010;;5616701.72
11220102;30020003;;363053.33
11220102;30020004;;4913053.01
11220201;30000002;;4378817.33
11220201;30030001;;31059.29
11220201;30030003;;3069510.48
11220201;30030004;;64015.81
11220201;30030005;;-1654.38
11220201;30030006;;-58936.85
11220201;30030008;;624191.95
11220201;30030009;;456.24
11220202;30000002;;5992454.37
11220202;30030001;;35680.08
11220202;30030003;;3607463.13
11220202;30030004;;2305270.95
11220202;30030006;;672211.45
11220202;30030008;;158622.38
11220202;30030009;;1933.28
112301;35030154;;45000
112311;;;168915.2
112312;;;53878.99
112313;;;148744.25
113111;601001;;0
113111;601003;;0
113111;601004;;0
113111;601005;;0
113111;601006;;0
113111;601009;;0
113111;601011;;0
113111;603001;;0
113111;604002;;0
113111;607001;;0
113111;608001;;0
113111;608002;;0
113111;608003;;0
113112;601002;;0
113112;609002;;0
113112;609004;;0
113112;609005;;0
113112;609006;;0
113112;609007;;0
113112;609008;;0
113112;609010;;0
113112;609011;;0
113121;601003;;0
113121;601004;;0
113121;601005;;0
113121;601009;;0
113121;604002;;0
113121;607001;;0
113121;608001;;0
113121;608002;;0
113122;601002;;0
113122;609002;;0
113122;609004;;0
113122;609005;;0
113122;609006;;0
113122;609007;;0
113122;609008;;0
113122;609010;;0
113122;609011;;0
113311;3001;;0
113311;3002;;0
113311;3003;;0
113311;3004;;0
113311;3005;;0
113311;3006;;0
113311;3007;;0
113311;3009;;0
113311;3010;;0
113311;3011;;0
113311;3012;;0
113311;3013;;0
113311;3014;;0
113311;3015;;0
113311;3016;;0
113311;3018;;0
113311;3019;;0
113311;3020;;0
113311;3021;;0
113311;3022;;0
113311;3023;;0
113311;3024;;0
113311;3025;;0
113311;3027;;0
113311;3028;;0
113311;3029;;0
113311;3031;;0
113311;3032;;0
113311;3035;;0
113311;3037;;0
113311;3041;;0
113311;3042;;0
113311;3043;;0
113311;3044;;0
113311;3045;;0
113311;3047;;0
113311;3048;;0
113311;3049;;0
113311;3050;;0
113311;3051;;0
113311;3052;;0
113311;3053;;0
113311;3054;;0
113311;3055;;0
113311;3058;;0
113311;3059;;0
113311;3060;;0
113311;3061;;0
113311;3062;;0
113311;3063;;0
113311;3064;;0
113311;3065;;0
113311;3066;;0
113311;3067;;0
113311;3068;;0
113311;3069;;0
113311;3072;;0
113311;3073;;0
113311;3075;;0
113311;3076;;0
113311;3077;;0
113311;3078;;0
113311;3081;;0
113311;3083;;0
113311;3084;;0
113311;3086;;0
113311;3087;;0
113311;3088;;0
113311;3090;;0
113311;3091;;0
113311;3092;;0
113311;3093;;0
113311;3094;;0
113311;3095;;0
113311;3096;;0
113311;3098;;0
113311;3099;;0
113311;3100;;0
113311;3101;;0
113311;3102;;0
113311;3103;;0
113311;3104;;0
113311;3105;;0
113311;3106;;0
113311;3107;;0
113311;3108;;0
113311;3109;;0
113311;3110;;0
113311;3111;;0
113311;3112;;0
113311;3113;;0
113311;3114;;0
113311;3115;;0
113311;3116;;0
113311;3117;;0
113311;3118;;0
113311;3119;;0
113311;3120;;0
113311;3121;;0
113311;3122;;0
113311;3123;;0
113311;3124;;0
113311;3125;;0
113311;3126;;0
113311;3127;;0
113311;3128;;0
113311;3129;;0
113311;3130;;0
113311;3131;;0
113311;3132;;0
113311;3133;;0
113311;3134;;0
113311;3135;;0
113311;3136;;0
113311;3137;;0
113311;3138;;0
113311;3139;;0
113311;3140;;0
113311;3141;;0
113311;3142;;0
113311;3143;;0
