#def REPORTPATH=$/QAD Addons/BI Report/xxicaldr
#def :end
"会计单位";"年份";"期间";"零件";"工单";"分配比例";"数量";"基础参数";"乘参数1";"乘参数2";"乘参数3";"除参数1";"除参数2";"除参数3";"单量";"总量";"量比";"成本"
"1000";2009;6;"2.02.05.03.00";"28367";"RGGS";5365.533;1;1;1;1;1;1;1;1;5365.533;.000167592;83.796
"1000";2009;6;"2.02.05.03.00";"28378";"RGGS";8431.5519;1;1;1;1;1;1;1;1;8431.5519;.0002633589;263.3589
"1000";2009;6;"2.02.05.03.00";"28378";"RGGS";8431.5519;1;1;1;1;1;1;1;1;8431.5519;.0002633589;52.67178
"1000";2009;6;"2.02.05.03.00";"28378";"RGGS";8431.5519;1;1;1;1;1;1;1;1;8431.5519;.0002633589;79.00767
"1000";2009;6;"2.02.05.03.00";"28378";"RGGS";8431.5519;1;1;1;1;1;1;1;1;8431.5519;.0002633589;131.67945
"1000";2009;6;"2.02.05.03.00";"28391";"RGGS";4599.0283;1;1;1;1;1;1;1;1;4599.0283;.0001436503;143.6503
"1000";2009;6;"2.02.05.03.00";"28391";"RGGS";4599.0283;1;1;1;1;1;1;1;1;4599.0283;.0001436503;28.73006
"1000";2009;6;"2.02.05.03.00";"28391";"RGGS";4599.0283;1;1;1;1;1;1;1;1;4599.0283;.0001436503;43.09509
"1000";2009;6;"2.02.05.03.00";"28391";"RGGS";4599.0283;1;1;1;1;1;1;1;1;4599.0283;.0001436503;71.82515
"1000";2009;6;"2.02.05.03.00";"28400";"RGGS";13030.5802;1;1;1;1;1;1;1;1;13030.5802;.0004070092;407.0092
"1000";2009;6;"2.02.05.03.00";"28400";"RGGS";13030.5802;1;1;1;1;1;1;1;1;13030.5802;.0004070092;81.40184
"1000";2009;6;"2.02.05.03.00";"28400";"RGGS";13030.5802;1;1;1;1;1;1;1;1;13030.5802;.0004070092;122.10276
"1000";2009;6;"2.02.05.03.00";"28400";"RGGS";13030.5802;1;1;1;1;1;1;1;1;13030.5802;.0004070092;203.5046
"1000";2009;6;"2.02.05.03.00";"28427";"RGGS";3066.0189;1;1;1;1;1;1;1;1;3066.0189;.0000957669;95.7669
"1000";2009;6;"2.02.05.03.00";"28427";"RGGS";3066.0189;1;1;1;1;1;1;1;1;3066.0189;.0000957669;19.15338
"1000";2009;6;"2.02.05.03.00";"28427";"RGGS";3066.0189;1;1;1;1;1;1;1;1;3066.0189;.0000957669;28.73007
"1000";2009;6;"2.02.05.03.00";"28427";"RGGS";3066.0189;1;1;1;1;1;1;1;1;3066.0189;.0000957669;47.88345
